Z_6,gene,abs_loading,factor
0.426375,ENSG00000160551.12,0.426375,Z_6
0.37281278,ENSG00000160180.17,0.37281278,Z_6
0.36986133,ENSG00000148346.12,0.36986133,Z_6
0.3002745,ENSG00000198695.2,0.3002745,Z_6
0.2944835,ENSG00000204287.14,0.2944835,Z_6
0.27525336,ENSG00000114315.4,0.27525336,Z_6
0.27497533,ENSG00000185201.17,0.27497533,Z_6
0.27168402,ENSG00000272398.6,0.27168402,Z_6
0.26366168,ENSG00000019582.16,0.26366168,Z_6
0.2536721,ENSG00000188373.5,0.2536721,Z_6
0.253219,ENSG00000002933.9,0.253219,Z_6
0.25223127,ENSG00000206503.13,0.25223127,Z_6
0.25081915,ENSG00000211677.2,0.25081915,Z_6
0.24363679,ENSG00000250722.6,0.24363679,Z_6
0.21965657,ENSG00000121858.11,0.21965657,Z_6
0.214572,ENSG00000164266.11,0.214572,Z_6
0.20729016,ENSG00000165475.15,0.20729016,Z_6
0.2051445,ENSG00000211892.4,0.2051445,Z_6
0.20081842,ENSG00000112312.10,0.20081842,Z_6
0.19882482,ENSG00000095932.7,0.19882482,Z_6
0.19531031,ENSG00000134333.14,0.19531031,Z_6
0.19057742,ENSG00000204525.17,0.19057742,Z_6
0.18583149,ENSG00000073350.14,0.18583149,Z_6
0.18582997,ENSG00000268621.6,0.18582997,Z_6
0.18375604,ENSG00000096872.17,0.18375604,Z_6
0.18327703,ENSG00000143167.12,0.18327703,Z_6
0.18140914,ENSG00000015413.9,0.18140914,Z_6
0.18012369,ENSG00000142089.17,0.18012369,Z_6
0.17843206,ENSG00000135926.15,0.17843206,Z_6
0.17706914,ENSG00000204385.13,0.17706914,Z_6
0.17499578,ENSG00000171848.16,0.17499578,Z_6
0.17228223,ENSG00000166165.13,0.17228223,Z_6
0.17175068,ENSG00000106025.9,0.17175068,Z_6
0.17062129,ENSG00000103534.17,0.17062129,Z_6
0.16701941,ENSG00000165949.12,0.16701941,Z_6
0.1656255,ENSG00000071127.17,0.1656255,Z_6
0.16456798,ENSG00000117335.20,0.16456798,Z_6
0.16432036,ENSG00000110944.9,0.16432036,Z_6
0.16368267,ENSG00000180628.15,0.16368267,Z_6
0.16316597,ENSG00000198938.2,0.16316597,Z_6
0.16274779,ENSG00000134291.12,0.16274779,Z_6
0.15588674,ENSG00000174992.8,0.15588674,Z_6
0.15467484,ENSG00000079385.23,0.15467484,Z_6
0.1540424,ENSG00000204397.9,0.1540424,Z_6
0.15344566,ENSG00000059728.11,0.15344566,Z_6
0.15178733,ENSG00000115414.21,0.15178733,Z_6
0.14814049,ENSG00000162896.6,0.14814049,Z_6
0.14774545,ENSG00000125968.9,0.14774545,Z_6
0.14649975,ENSG00000078401.7,0.14649975,Z_6
0.14549468,ENSG00000180861.9,0.14549468,Z_6
