,proba_m1,proba_m2,bayes_factor,scale1,scale2,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,comparison,group1,group2
ENSG00000148344.11,0.8248,0.17520000000000002,1.5492127092469865,0.00010464127,1.0328905e-05,12.092857142857143,0.7523364485981309,0.4642857142857143,0.0630841121495327,0.907859196213859,0.09778777715596036,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000106211.10,0.8026,0.19740000000000002,1.4026242926343817,0.0066716154,0.0025427095,770.8928571428571,211.0607476635514,0.9857142857142858,0.8714953271028038,71.8640050137492,26.88233371386276,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000165949.12,0.7964,0.2036,1.3639442509542654,0.008078021,0.0033384906,1137.0142857142857,255.9626168224299,0.9928571428571429,0.9088785046728972,100.89359632312812,32.71488447334863,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000169035.12,0.7964,0.2036,1.3639442509542654,8.509417e-05,1.0165551e-06,5.4,0.09579439252336448,0.19285714285714287,0.014018691588785047,0.6023494091470741,0.00967086981843209,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000126709.16,0.7898,0.21020000000000005,1.323720255497393,0.0007242372,0.00012220367,40.50714285714286,5.509345794392523,0.7428571428571429,0.25934579439252337,3.7760772548907156,0.6000440438055807,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000147872.10,0.7778,0.22219999999999995,1.2528915123683935,0.0012992137,0.00042142443,119.91428571428571,40.14018691588785,0.9571428571428572,0.6565420560747663,10.8151625448823,4.227214903152489,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000103355.14,0.7688,0.23119999999999996,1.2015476906125504,0.0002866796,8.349428e-06,18.25,0.602803738317757,0.37142857142857144,0.037383177570093455,1.872722729185393,0.08017138168081822,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000268621.6,0.7666,0.23340000000000005,1.189211403293711,0.0018421492,1.3006494e-05,152.2,0.3808411214953271,0.6428571428571429,0.1542056074766355,17.688991685858966,0.058749445706143086,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000134627.12,0.7658,0.23419999999999996,1.1847455582392699,4.3388267e-05,9.155379e-06,5.7214285714285715,0.8714953271028038,0.2571428571428571,0.053738317757009345,0.4676290326660136,0.10208882460894438,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000109099.16,0.7648,0.23519999999999996,1.1791781162710278,7.7235025e-05,9.4879615e-06,7.764285714285714,0.7733644859813084,0.4142857142857143,0.10747663551401869,0.7436040540193016,0.13034286422919894,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000092758.18,0.7626,0.23740000000000006,1.1669871362379314,0.00019331193,1.4045535e-05,11.021428571428572,0.8901869158878505,0.4142857142857143,0.09579439252336448,0.8332596230196248,0.11772832426120389,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000154978.13,0.7614,0.23860000000000003,1.1603703055071346,0.00039997796,7.0061025e-05,79.71428571428571,6.63785046728972,0.7857142857142857,0.3644859813084112,4.1766892160580165,0.7376852645359668,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000181019.13,0.7596,0.24039999999999995,1.1504877478445654,0.0020107352,0.0011264967,234.47857142857143,91.84579439252336,0.9785714285714285,0.8387850467289719,21.21393251896543,10.432330158542753,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000130844.19,0.7594,0.24060000000000004,1.149392815862655,5.127777e-05,1.31067145e-05,6.785714285714286,1.2079439252336448,0.4357142857142857,0.12383177570093458,0.5305927191487251,0.1729193590676473,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000023445.16,0.7576,0.24239999999999995,1.1395662596221625,0.0003551264,5.756064e-05,32.40714285714286,6.502336448598131,0.6785714285714286,0.34579439252336447,2.52202140147316,0.5723479455013116,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000188833.10,0.7576,0.24239999999999995,1.1395662596221625,1.3619437e-05,1.8254322e-06,2.1785714285714284,0.19626168224299065,0.17857142857142858,0.035046728971962614,0.1655602949170273,0.02505740088834641,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000172927.8,0.7564,0.24360000000000004,1.1330427731181762,0.00043049298,2.9031802e-05,27.65714285714286,2.885514018691589,0.4928571428571429,0.14953271028037382,2.5475856794603073,0.33337040571409776,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000144366.16,0.7554,0.24460000000000004,1.1276231593802302,0.0002322643,1.0993438e-05,13.2,1.1238317757009346,0.4142857142857143,0.06775700934579439,1.0839163733381179,0.1350362555414067,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000196549.13,0.7446,0.25539999999999996,1.0700161921159403,0.00017277966,3.9123508e-05,20.057142857142857,3.558411214953271,0.5142857142857142,0.1378504672897196,1.755013851017454,0.335213459643947,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000158315.11,0.7436,0.25639999999999996,1.0647645052473051,9.93182e-05,3.500596e-05,3.75,1.7523364485981308,0.19285714285714287,0.0630841121495327,0.749326725351931,0.20917003255797928,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000146648.20,0.741,0.259,1.0511725384817878,0.00074267556,8.8921784e-05,70.17142857142858,6.565420560747664,0.75,0.4485981308411215,4.197577705401325,0.7154823152716602,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000185215.11,0.741,0.259,1.0511725384817878,4.5084398e-05,1.5745934e-05,4.185714285714286,1.9509345794392523,0.45714285714285713,0.14719626168224298,0.4276545937576252,0.17337680807127664,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000214049.8,0.7404,0.25960000000000005,1.0480485708548195,0.0008797266,0.00010524716,91.98571428571428,11.156542056074766,0.75,0.40420560747663553,8.272278827964781,0.9321257766324063,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000152558.15,0.7354,0.26459999999999995,1.0221952929914644,0.0024134296,0.0011354184,274.62142857142857,101.74065420560747,0.9571428571428572,0.9228971962616822,23.788090410333503,11.281660805685627,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000103811.18,0.7352,0.26480000000000004,1.0211677228160152,0.000682348,0.00029337627,68.5,28.976635514018692,0.8857142857142857,0.7313084112149533,5.847568505324562,3.1716198372919426,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000164924.18,0.7336,0.26639999999999997,1.012964958369891,0.003360466,0.0023810521,427.60714285714283,225.85747663551402,1.0,0.9883177570093458,35.225159570961814,24.245428238128383,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000154856.13,0.7324,0.26759999999999995,1.0068334608308167,0.00019221267,3.8320395e-05,17.085714285714285,3.25,0.44285714285714284,0.16355140186915887,1.8518657253408228,0.31147062364547384,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000156587.16,0.731,0.269,0.9997020566531093,0.00045850957,0.00023017197,45.6,15.55841121495327,0.7214285714285714,0.3855140186915888,4.143175048609024,1.6072160542619918,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000151502.11,0.7304,0.26959999999999995,0.9966529268417478,9.050236e-05,2.4270428e-05,9.885714285714286,2.308411214953271,0.4142857142857143,0.19158878504672897,0.7408357437492118,0.24132511407161242,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
