"","gene_id","gene_name","logFC_ColonNormal_vs_TumorPrimario","logCPM_ColonNormal_vs_TumorPrimario","F_ColonNormal_vs_TumorPrimario","pvalue_ColonNormal_vs_TumorPrimario","FDR_ColonNormal_vs_TumorPrimario","logFC_MetastasisHigado_vs_TumorPrimario","logCPM_MetastasisHigado_vs_TumorPrimario","F_MetastasisHigado_vs_TumorPrimario","pvalue_MetastasisHigado_vs_TumorPrimario","FDR_MetastasisHigado_vs_TumorPrimario","logFC_MetastasisNodoLinfático_vs_TumorPrimario","logCPM_MetastasisNodoLinfático_vs_TumorPrimario","F_MetastasisNodoLinfático_vs_TumorPrimario","pvalue_MetastasisNodoLinfático_vs_TumorPrimario","FDR_MetastasisNodoLinfático_vs_TumorPrimario"
"1","ENSG00000133742.14","CA1",11.2230892926609,7.77624441869084,86.8542634160263,1.11243304422576e-10,2.36492140871954e-06,-4.80342106052013,7.77624441869084,10.2695166651309,0.00303692197600427,0.194218064023685,-1.28182853623682,7.77624441869084,1.35843096193093,0.252332119801062,1
"2","ENSG00000156284.6","CLDN8",12.2846462001022,3.72057356038634,50.6275777206757,5.63188132220146e-08,0.000598640825143404,-2.22490176292187,3.72057356038634,0.915078830296961,0.346228938459543,1,0.186954942482329,3.72057356038634,0.0224507784919135,0.881872308716829,1
"3","ENSG00000156966.7","B3GNT7",7.67737873335329,6.15178629815778,45.18069950124,1.64089491258741e-07,0.00116279283155653,-1.05845335514667,6.15178629815778,0.416556524819003,0.523430611685822,1,-0.219876833682008,6.15178629815778,0.0534218505558923,0.818738189854864,1
"4","ENSG00000104267.10","CA2",7.44460149191575,7.24655812837566,40.8387000249191,3.87191778888761e-07,0.00205782750684904,-4.58845818564542,7.24655812837566,3.97683256258057,0.0548954123011406,0.75745652746474,-1.01575891964716,7.24655812837566,0.903607603290237,0.349092641496202,1
"5","ENSG00000240498.9","CDKN2B-AS1",6.49602693013605,5.69372212065248,33.2085516688191,2.83936303829815e-06,0.0120724037662361,-2.99898593827203,5.69372212065248,8.19733531941503,0.00763197921508969,0.29607344184962,-0.641207928556022,5.69372212065248,0.454630773891038,0.505373895835561,1
"6","ENSG00000198804.2","MT-CO1",1.17460251162467,15.4796065583945,29.0401078992864,8.55908318223552e-06,0.0272530365239967,-0.718136217445218,15.4796065583945,5.56236531392971,0.0252902317212101,0.518461944224885,0.221574236848178,15.4796065583945,1.48840944239472,0.232273275105109,1
"7","ENSG00000137860.12","SLC28A2",6.67479011824938,3.73298097690243,27.7957975406924,9.92519951235982e-06,0.0272530365239967,-3.42341874147819,3.73298097690243,0.0525722512121423,0.820156941202723,1,-2.65053542302044,3.73298097690243,0.105494420533174,0.747521548834899,1
"8","ENSG00000137634.10","NXPE4",6.05713915504426,6.50596811192923,27.9417035381396,1.05872243986594e-05,0.0272530365239967,-0.244304298556381,6.50596811192923,0.0271119849400546,0.870325586565255,1,-4.25260057562022,6.50596811192923,9.58363258537639,0.00424817409686798,0.421500454613281
"9","ENSG00000188257.12","PLA2G2A",6.59565224822093,8.32288490931819,27.0939196675634,1.1991824923253e-05,0.0272530365239967,-3.93504458738786,8.32288490931819,4.69083247112792,0.038149791506884,0.626275225980577,-0.847093689415215,8.32288490931819,0.487359510689116,0.490321943393955,1
"10","ENSG00000198938.2","MT-CO3",1.54546334061612,14.0225233762795,27.4946351792367,1.28195289166925e-05,0.0272530365239967,-0.727702372453355,14.0225233762795,3.00540319218653,0.0935881474011676,0.970531914927523,-0.0382714706379277,14.0225233762795,0.0234336547448434,0.879392892884521,1
