,proba_m1,proba_m2,bayes_factor,scale1,scale2,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,comparison,group1,group2
ENSG00000148344.11,0.8424,0.15759999999999996,1.6761947318150578,0.00014334849,1.0862388e-05,12.092857142857143,0.7523364485981309,0.4642857142857143,0.0630841121495327,0.907859196213859,0.09778777715596036,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000165949.12,0.8118,0.18820000000000003,1.4617487364368615,0.008253609,0.0033856118,1137.0142857142857,255.9626168224299,0.9928571428571429,0.9088785046728972,100.89359632312812,32.71488447334863,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000126709.16,0.8014,0.1986,1.3950674087166692,0.0005542383,8.1285245e-05,40.50714285714286,5.509345794392523,0.7428571428571429,0.25934579439252337,3.7760772548907156,0.6000440438055807,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000169035.12,0.7904,0.2096,1.3273381589286704,6.177792e-05,9.808606e-07,5.4,0.09579439252336448,0.19285714285714287,0.014018691588785047,0.6023494091470741,0.00967086981843209,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000106211.10,0.7782,0.2218,1.2552074533986919,0.0058997995,0.0025445432,770.8928571428571,211.0607476635514,0.9857142857142858,0.8714953271028038,71.8640050137492,26.88233371386276,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000023445.16,0.7714,0.22860000000000003,1.2162332636323292,0.00035005214,5.654446e-05,32.40714285714286,6.502336448598131,0.6785714285714286,0.34579439252336447,2.52202140147316,0.5723479455013116,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000144366.16,0.765,0.235,1.1802902902010817,0.00019755152,1.753704e-05,13.2,1.1238317757009346,0.4142857142857143,0.06775700934579439,1.0839163733381179,0.1350362555414067,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000172927.8,0.7634,0.23660000000000003,1.1714111596007095,0.00040873856,3.4879966e-05,27.65714285714286,2.885514018691589,0.4928571428571429,0.14953271028037382,2.5475856794603073,0.33337040571409776,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000196549.13,0.7608,0.23919999999999997,1.1570704604927435,0.00015173723,3.2855227e-05,20.057142857142857,3.558411214953271,0.5142857142857142,0.1378504672897196,1.755013851017454,0.335213459643947,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000268621.6,0.7604,0.23960000000000004,1.1548737157877267,0.0018364813,1.1722737e-05,152.2,0.3808411214953271,0.6428571428571429,0.1542056074766355,17.688991685858966,0.058749445706143086,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000154978.13,0.7582,0.24180000000000001,1.142836236734182,0.00043009623,8.41313e-05,79.71428571428571,6.63785046728972,0.7857142857142857,0.3644859813084112,4.1766892160580165,0.7376852645359668,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000181019.13,0.7548,0.24519999999999997,1.1243785818978482,0.0021084605,0.0011743779,234.47857142857143,91.84579439252336,0.9785714285714285,0.8387850467289719,21.21393251896543,10.432330158542753,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000147872.10,0.7548,0.24519999999999997,1.1243785818978482,0.0012630546,0.00042748594,119.91428571428571,40.14018691588785,0.9571428571428572,0.6565420560747663,10.8151625448823,4.227214903152489,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000234949.2,0.7506,0.24939999999999996,1.1018148266814298,5.21762e-05,9.572697e-06,4.307142857142857,0.7990654205607477,0.2,0.06074766355140187,0.35417869594800594,0.08589634105404674,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000168062.10,0.7466,0.25339999999999996,1.0805602725241998,0.000103218874,2.445483e-05,10.014285714285714,2.207943925233645,0.3142857142857143,0.12149532710280374,0.6750041065433723,0.26235763453944916,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000092758.18,0.7464,0.25360000000000005,1.079503400935529,0.00015706937,1.2917456e-05,11.021428571428572,0.8901869158878505,0.4142857142857143,0.09579439252336448,0.8332596230196248,0.11772832426120389,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
