Z_6,gene,abs_loading,factor
-0.35584685,ENSG00000173467.9,0.35584685,Z_6
-0.31495973,ENSG00000164266.11,0.31495973,Z_6
-0.2895796,ENSG00000172016.16,0.2895796,Z_6
-0.2893094,ENSG00000079459.13,0.2893094,Z_6
-0.28109026,ENSG00000129824.16,0.28109026,Z_6
-0.2486704,ENSG00000115386.6,0.2486704,Z_6
-0.24450704,ENSG00000206503.13,0.24450704,Z_6
-0.22016905,ENSG00000141753.7,0.22016905,Z_6
-0.21673535,ENSG00000114315.4,0.21673535,Z_6
-0.21374793,ENSG00000101361.17,0.21374793,Z_6
-0.21107684,ENSG00000204287.14,0.21107684,Z_6
-0.20633577,ENSG00000117448.14,0.20633577,Z_6
-0.20281439,ENSG00000120708.17,0.20281439,Z_6
-0.19923656,ENSG00000119333.12,0.19923656,Z_6
-0.1976256,ENSG00000131771.14,0.1976256,Z_6
-0.19676618,ENSG00000100097.12,0.19676618,Z_6
-0.19500922,ENSG00000110917.8,0.19500922,Z_6
-0.19347203,ENSG00000080608.10,0.19347203,Z_6
-0.19314004,ENSG00000095932.7,0.19314004,Z_6
-0.19216555,ENSG00000143416.21,0.19216555,Z_6
-0.18384111,ENSG00000148346.12,0.18384111,Z_6
-0.18253808,ENSG00000241224.8,0.18253808,Z_6
-0.18181594,ENSG00000211677.2,0.18181594,Z_6
-0.17928202,ENSG00000108244.17,0.17928202,Z_6
-0.17700568,ENSG00000198938.2,0.17700568,Z_6
-0.17522295,ENSG00000147419.19,0.17522295,Z_6
-0.17442957,ENSG00000109881.17,0.17442957,Z_6
-0.17169698,ENSG00000106541.12,0.17169698,Z_6
-0.17101853,ENSG00000132541.11,0.17101853,Z_6
-0.16970782,ENSG00000084234.18,0.16970782,Z_6
-0.16950111,ENSG00000104537.17,0.16950111,Z_6
-0.16852154,ENSG00000160551.12,0.16852154,Z_6
-0.16646317,ENSG00000136897.8,0.16646317,Z_6
-0.16580595,ENSG00000183844.17,0.16580595,Z_6
-0.16561645,ENSG00000013306.16,0.16561645,Z_6
-0.16476332,ENSG00000288057.1,0.16476332,Z_6
-0.16437298,ENSG00000189403.15,0.16437298,Z_6
-0.16237268,ENSG00000164816.8,0.16237268,Z_6
-0.1621837,ENSG00000111907.21,0.1621837,Z_6
-0.16151051,ENSG00000121858.11,0.16151051,Z_6
-0.15989298,ENSG00000167900.12,0.15989298,Z_6
-0.15979616,ENSG00000163950.13,0.15979616,Z_6
-0.15635914,ENSG00000130520.11,0.15635914,Z_6
-0.15624842,ENSG00000115241.11,0.15624842,Z_6
-0.15620007,ENSG00000008394.13,0.15620007,Z_6
-0.15417145,ENSG00000141030.13,0.15417145,Z_6
-0.15317748,ENSG00000163734.4,0.15317748,Z_6
-0.15068926,ENSG00000091138.13,0.15068926,Z_6
-0.15052706,ENSG00000214160.10,0.15052706,Z_6
-0.15035777,ENSG00000131748.16,0.15035777,Z_6
