Z_12,gene,abs_loading,factor
-0.3713787,ENSG00000124102.5,0.3713787,Z_12
-0.34318626,ENSG00000065150.21,0.34318626,Z_12
-0.33798867,ENSG00000198959.12,0.33798867,Z_12
-0.27393326,ENSG00000105821.15,0.27393326,Z_12
-0.26790497,ENSG00000106211.10,0.26790497,Z_12
-0.2600704,ENSG00000164611.13,0.2600704,Z_12
-0.25145143,ENSG00000141574.8,0.25145143,Z_12
-0.24666469,ENSG00000124486.14,0.24666469,Z_12
-0.2443585,ENSG00000125249.7,0.2443585,Z_12
-0.24385388,ENSG00000089327.15,0.24385388,Z_12
-0.24053319,ENSG00000268621.6,0.24053319,Z_12
-0.2330619,ENSG00000151490.15,0.2330619,Z_12
-0.2320696,ENSG00000110917.8,0.2320696,Z_12
-0.23157406,ENSG00000206503.13,0.23157406,Z_12
-0.23076819,ENSG00000180628.15,0.23076819,Z_12
-0.22716545,ENSG00000198142.5,0.22716545,Z_12
-0.22371668,ENSG00000272894.5,0.22371668,Z_12
-0.22280443,ENSG00000196878.15,0.22280443,Z_12
-0.21381906,ENSG00000156471.13,0.21381906,Z_12
-0.21214823,ENSG00000260032.2,0.21214823,Z_12
-0.21156682,ENSG00000161980.6,0.21156682,Z_12
-0.21045563,ENSG00000143416.21,0.21045563,Z_12
-0.21043621,ENSG00000126709.16,0.21043621,Z_12
-0.20951995,ENSG00000114115.10,0.20951995,Z_12
-0.20838211,ENSG00000106565.18,0.20838211,Z_12
-0.20029746,ENSG00000171848.16,0.20029746,Z_12
-0.19596255,ENSG00000174695.10,0.19596255,Z_12
-0.1929269,ENSG00000164822.5,0.1929269,Z_12
-0.19271639,ENSG00000204899.6,0.19271639,Z_12
-0.18812773,ENSG00000189403.15,0.18812773,Z_12
-0.18742816,ENSG00000206828.1,0.18742816,Z_12
-0.18630996,ENSG00000138029.14,0.18630996,Z_12
-0.1825799,ENSG00000134779.15,0.1825799,Z_12
-0.18193498,ENSG00000166326.7,0.18193498,Z_12
-0.17887874,ENSG00000186603.7,0.17887874,Z_12
-0.17846851,ENSG00000117335.20,0.17846851,Z_12
-0.17701691,ENSG00000196950.14,0.17701691,Z_12
-0.17594548,ENSG00000111665.12,0.17594548,Z_12
-0.17578785,ENSG00000184489.13,0.17578785,Z_12
-0.17458606,ENSG00000101447.15,0.17458606,Z_12
-0.17426094,ENSG00000158825.6,0.17426094,Z_12
-0.17308302,ENSG00000090487.11,0.17308302,Z_12
-0.17266737,ENSG00000120137.7,0.17266737,Z_12
-0.17255665,ENSG00000137492.9,0.17255665,Z_12
-0.17254137,ENSG00000204389.10,0.17254137,Z_12
-0.17242679,ENSG00000111832.13,0.17242679,Z_12
-0.17106797,ENSG00000148346.12,0.17106797,Z_12
-0.17048016,ENSG00000132541.11,0.17048016,Z_12
-0.16987509,ENSG00000182718.18,0.16987509,Z_12
-0.1682123,ENSG00000005812.11,0.1682123,Z_12
