Z_7,gene,abs_loading,factor
-0.5019304,ENSG00000124102.5,0.5019304,Z_7
-0.4878049,ENSG00000174992.8,0.4878049,Z_7
-0.36529693,ENSG00000148346.12,0.36529693,Z_7
-0.3613909,ENSG00000120708.17,0.3613909,Z_7
-0.33552074,ENSG00000141753.7,0.33552074,Z_7
-0.31180298,ENSG00000196126.11,0.31180298,Z_7
-0.30630702,ENSG00000271933.1,0.30630702,Z_7
-0.28797922,ENSG00000204287.14,0.28797922,Z_7
-0.28316486,ENSG00000180573.10,0.28316486,Z_7
-0.28295103,ENSG00000268621.6,0.28295103,Z_7
-0.28105235,ENSG00000139505.12,0.28105235,Z_7
-0.25489178,ENSG00000160182.3,0.25489178,Z_7
-0.2443652,ENSG00000173432.12,0.2443652,Z_7
-0.2409144,ENSG00000101752.12,0.2409144,Z_7
-0.24011594,ENSG00000183844.17,0.24011594,Z_7
-0.23550382,ENSG00000155090.15,0.23550382,Z_7
-0.23450276,ENSG00000104549.12,0.23450276,Z_7
-0.23407185,ENSG00000115641.19,0.23407185,Z_7
-0.23406236,ENSG00000272398.6,0.23406236,Z_7
-0.22983022,ENSG00000131981.16,0.22983022,Z_7
-0.22737631,ENSG00000130066.17,0.22737631,Z_7
-0.22091836,ENSG00000117472.10,0.22091836,Z_7
-0.21753207,ENSG00000008394.13,0.21753207,Z_7
-0.21619967,ENSG00000134827.8,0.21619967,Z_7
-0.21615852,ENSG00000169908.12,0.21615852,Z_7
-0.21053615,ENSG00000196954.14,0.21053615,Z_7
-0.20995116,ENSG00000141741.12,0.20995116,Z_7
-0.20944986,ENSG00000099194.6,0.20944986,Z_7
-0.20899786,ENSG00000265972.6,0.20899786,Z_7
-0.20737159,ENSG00000136826.15,0.20737159,Z_7
-0.20425668,ENSG00000180861.9,0.20425668,Z_7
-0.20323642,ENSG00000182240.16,0.20323642,Z_7
-0.2027016,ENSG00000168386.19,0.2027016,Z_7
-0.20104507,ENSG00000174695.10,0.20104507,Z_7
-0.20024069,ENSG00000150782.12,0.20024069,Z_7
-0.20008157,ENSG00000166710.21,0.20008157,Z_7
-0.19842267,ENSG00000170348.9,0.19842267,Z_7
-0.19385195,ENSG00000140941.14,0.19385195,Z_7
-0.19370426,ENSG00000158373.8,0.19370426,Z_7
-0.19236328,ENSG00000053747.17,0.19236328,Z_7
-0.18984407,ENSG00000137648.19,0.18984407,Z_7
-0.18932292,ENSG00000113070.8,0.18932292,Z_7
-0.18752323,ENSG00000172380.6,0.18752323,Z_7
-0.1822694,ENSG00000164733.22,0.1822694,Z_7
-0.18152203,ENSG00000133318.14,0.18152203,Z_7
-0.17650503,ENSG00000168955.4,0.17650503,Z_7
-0.17595282,ENSG00000124107.5,0.17595282,Z_7
-0.17550641,ENSG00000140297.13,0.17550641,Z_7
-0.17401879,ENSG00000067064.12,0.17401879,Z_7
-0.16973998,ENSG00000127324.9,0.16973998,Z_7
