,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Z_10,Z_11,Z_12,Z_13,Z_14,Z_15,Z_16,Z_17,Z_18,Z_19
ENSG00000116285.13,0.15521757,0.31411394,-0.09171726,-0.15783595,-0.024688892,-0.21248697,0.0067015034,-0.11504172,0.17525855,-0.09571154,-0.046700902,0.056952417,0.11348647,0.019774945,0.02803791,0.09428561,0.07275052,0.088069856,0.07915156,0.0760638
ENSG00000074800.16,0.07282813,-0.0031802694,-0.003272427,-0.003923861,0.09389701,0.03917713,-0.046220824,-0.005256661,0.027693741,-0.00462919,0.031931166,0.0113244355,-0.013128993,0.013968192,0.016418861,0.0051740776,-0.093681514,-0.04066864,-0.069080554,-0.08291058
ENSG00000198793.13,-0.016099796,-0.031738125,0.03738986,0.05900191,-0.0046843835,-0.085922614,-0.0084189,0.065216824,-0.02097687,0.009973676,0.05616696,-0.035723705,0.04851427,-0.0814662,0.10024735,-0.09895192,0.03456808,0.040128678,0.0033275122,-0.01411229
ENSG00000120942.14,-0.054369424,-0.056077145,0.0062156324,0.06969805,0.010428801,-0.014004177,0.04560968,0.09667324,-0.033569016,0.026591653,-0.07200029,0.05952182,0.036956288,0.035817858,0.0016118602,-0.028679382,0.040101487,0.008356925,0.043137196,0.0881054
ENSG00000116661.11,-0.065327466,0.08491065,0.10564421,0.071797036,-0.06820078,-0.009698256,0.026004657,0.0044843545,0.044940494,0.045409337,-0.11249362,-0.05645633,-0.04441154,-0.08341461,0.09215032,0.026271243,0.023897024,0.090904705,0.023247521,-0.052936744
ENSG00000132879.14,0.008016585,0.055997003,0.013843188,0.07013911,-0.033531077,0.0073967827,0.08088116,0.026146596,-0.04759281,-0.06652279,-0.025397925,0.03356842,-0.008472134,-0.04648369,0.054053646,0.018090915,0.06824518,-0.054171596,0.027817259,0.010845872
ENSG00000116663.11,-0.03924446,-0.056112085,0.10761878,-0.0051388126,0.009735245,-0.10753026,0.07884326,0.0073729125,0.0030103624,0.0450289,-0.056755863,-0.02630172,0.04222901,-0.046338897,0.12742534,0.041663405,0.03481023,-0.0027719012,0.03317266,-0.029867953
ENSG00000011021.23,0.046678178,-0.066179045,0.009427973,0.009870751,-0.11035356,-0.090800814,0.11676757,-0.0052610636,-0.040954217,0.046862226,-0.1011069,0.054302614,0.02404071,-0.12273933,0.05196654,0.0245593,-0.019651547,0.037114613,0.019814223,0.06374788
ENSG00000116685.16,-0.0102166245,0.04923626,0.02152593,0.025268434,-0.049768087,-0.021178799,-0.0042765173,0.08545779,-0.04292378,-0.07688028,-0.049987033,0.025033157,0.07249053,-0.017398916,0.038819287,0.03774166,-0.00082344067,-0.02573446,0.06176278,-0.039650887
ENSG00000083444.17,0.03665563,0.091388114,0.07390231,-0.007832543,-0.07929989,0.036133334,0.029013388,-0.011502042,-0.0831141,-0.030659132,0.008471147,-0.061906736,0.01878448,0.028684493,0.003853176,-0.078788646,0.064579315,0.070392415,0.039524548,0.050660383
ENSG00000116688.18,0.027405404,0.083194874,0.057887446,0.037901893,-0.08731344,-0.063688725,0.063898124,0.08159401,0.03590217,0.027904376,0.00989857,0.021597298,0.036915895,-0.008612957,0.09200334,0.020095637,0.026348168,0.068480864,-0.050133612,0.046502423
ENSG00000028137.19,-0.053998142,-0.00043176618,0.06440861,0.03229294,-0.043015707,-0.02371113,-0.03169862,0.09176313,-0.00095428206,-0.037459552,-0.03268273,-0.04176943,-0.023468595,-0.028817626,-0.044134043,-0.062997155,0.074803345,0.041201603,0.06942488,-0.0062324884
ENSG00000171729.14,0.03222866,0.042876303,0.11016738,0.09097055,0.028261911,-0.05369883,-0.021750841,0.065520875,-0.12075529,-0.010020014,-0.000871113,-0.01434335,0.10943556,-0.062079355,-0.04067323,-0.008510543,0.031782664,-0.08078624,-0.02950842,0.01409916
ENSG00000116786.13,0.049963627,-0.00020063606,0.0102423,0.03827887,-0.058671553,-0.10493041,-0.03781876,0.02814522,0.007403244,-0.104732476,0.01682525,-0.03146313,0.025018875,-0.0022675255,-0.0049972883,-0.10242223,0.09634198,-0.042470243,-0.04910333,0.119810104
ENSG00000162458.13,-0.09171094,0.072582655,0.004274584,-0.01197173,-0.03779813,-0.09881646,0.025061788,0.07444863,-0.014033265,0.033350654,-0.031902403,0.05058389,0.031332918,0.005355029,-0.0037422688,-0.06997017,0.0029764655,-0.07713729,-0.010249395,0.10163016
ENSG00000116809.12,-0.03767073,-0.06597638,-0.014108612,0.16666563,0.0068628225,0.023363946,0.14570788,-0.013103034,-0.059768796,-0.021656092,-0.025576986,-0.024132594,-0.04169402,-0.063275136,0.081387706,-0.061021224,-0.013693789,-0.070238754,0.027397223,0.017181246
ENSG00000142627.13,-0.19004662,0.06976822,-0.104794264,0.06283284,0.031053428,-0.22990818,0.21255204,-0.11241383,-0.09028688,0.09101176,0.017979989,-0.078793734,0.13196085,0.1678862,-0.34087172,0.010316153,-0.018532775,0.035565164,-0.022475688,0.15344958
ENSG00000142632.17,-0.040636722,0.088632576,0.059988726,0.047645092,0.045161605,-0.13277782,0.06352234,-0.04199343,-0.017637525,0.04113921,-0.12866192,0.05921779,0.023618594,-0.020719646,-0.04951867,-0.040376198,0.08927157,0.024734683,-0.054657653,0.1351469
ENSG00000159363.19,0.031721473,0.012068156,-0.041440696,0.13004759,-0.049238198,-0.11326239,0.052344304,0.082264684,0.004035624,-0.07030175,-0.0057266196,0.07335574,0.049387917,-0.0189282,-0.033727426,-0.009098398,-0.02394981,-0.09945059,-0.0429619,0.12778199
ENSG00000117115.13,-0.004259097,0.10596433,-0.047017038,0.03449773,0.013905746,0.009720697,0.06710504,-0.0052750073,-0.023213658,-0.002544817,-0.08409397,-0.07547681,0.0963183,-0.10341126,-0.040851936,-0.011695215,0.03458229,0.007896748,0.11506269,0.021012584
ENSG00000142623.11,-0.030027498,0.072613694,-0.0072581586,0.062478837,0.0028449178,0.0016663136,0.026310602,0.011081821,-0.07010101,-0.08323325,-0.025745483,-0.01084264,0.0676104,-0.035768237,0.054560192,-0.06926959,0.027286135,0.01897192,-0.059191383,0.06665036
ENSG00000074964.17,0.026858686,0.050782993,-0.058069114,0.085455246,-0.0049937447,0.020122953,-0.015973365,0.03664809,-0.040739775,0.06928927,-0.097288154,-0.080838695,0.05635835,-0.0786586,-0.009046128,-0.00937683,0.12834755,-0.028471168,0.14371882,0.012228348
ENSG00000159423.17,-0.0033349663,0.06849102,-0.033066016,-0.02086662,-0.05210611,-0.0023196854,0.030974671,-0.040048916,-0.022497738,-0.040130302,-0.10636415,-0.021171547,-0.04936624,-0.07650227,0.046763606,-0.019305242,0.06543087,-0.051529676,0.12700954,0.053923044
ENSG00000211454.15,-0.03949902,0.06753754,-0.015255984,0.059270922,0.014740126,-0.05789031,0.08540405,-0.022762103,-0.013074891,0.04058012,0.0058917976,-0.05169451,0.07371484,-0.026158603,-0.024359927,-0.0019806237,0.06577046,0.037803467,0.08367253,0.075185694
ENSG00000040487.13,-0.033355594,0.048137363,0.072743185,0.03158496,0.02334454,0.02000571,0.023601623,0.090049915,-0.016012011,-0.09524553,-0.07678949,0.076877385,-0.029598525,-0.059546802,-0.021205774,-0.05727193,-0.012569464,-0.06748234,0.121126145,-0.00016047052
ENSG00000162542.14,-0.13002446,0.016146261,-0.039465893,-0.02807053,0.034776296,0.015960623,0.13887312,0.093194,0.107484564,-0.046883184,-0.1146432,0.028386312,-0.053827263,-0.08560848,-0.030517498,-0.041953944,0.080591075,0.09607355,0.018318236,0.09331694
ENSG00000178828.7,-0.040170856,0.19425996,0.14802545,0.018374251,-0.020984137,0.031322483,-0.08397221,-0.034638066,0.11067592,-0.09559187,-0.00040745188,0.022095304,-0.036950182,-0.048050363,0.019841736,-0.16499583,0.09131628,-0.052779764,-0.046704896,0.014463228
ENSG00000169914.6,-0.06799595,-0.06752531,0.096371114,0.035055242,-0.10314875,-0.1369312,-0.01938784,-0.014552548,-4.571547e-05,-0.025915505,-0.10073645,-0.11386091,0.0667206,-0.04985704,0.0051406664,0.02082347,-0.047085892,0.085886195,-0.047397517,0.03805796
ENSG00000188257.12,0.11329174,-0.113874234,0.036872905,0.15393741,-0.085171714,-0.039695412,-0.040570512,-0.048994113,-0.015324599,-0.019133046,-0.18418966,0.1493515,0.11227397,-0.14110018,0.038271297,0.06999771,-0.07241818,0.12357222,0.02445904,0.066963166
ENSG00000162543.6,-0.020406587,0.047985334,0.069333285,0.03160493,-0.009640477,-0.08115909,-0.043868773,-0.0077682724,-0.0076443763,-0.018319953,-0.026126022,0.02739976,0.08685105,-0.09692799,-0.027600868,-0.048964698,-0.022439538,0.06859998,0.079471216,0.047170807
ENSG00000090432.7,-0.072062895,0.08026103,0.07161417,0.042755038,-0.0060948376,0.016069926,-0.018428516,0.02513089,-0.01660435,-0.069198854,0.04880796,0.024131669,-0.0506871,-0.055100236,0.059910506,-0.0812474,0.106452644,-0.05314966,-0.029318508,0.04584046
ENSG00000158825.6,-0.08532877,-0.04164709,0.24042942,-0.1606224,-0.26159826,0.09750079,0.20312601,0.04078614,-0.14982519,-0.071026355,-0.061654888,0.13170555,-0.17426094,0.13596794,0.060345735,0.11936505,-0.17251453,0.018063273,-0.13815376,0.032249533
ENSG00000075151.23,0.004774378,0.02591281,0.05515002,-0.03173841,0.03850418,0.04029765,0.0744794,0.011655872,-0.09967814,0.030603167,-0.036311686,-0.1080323,0.04941804,-0.0322789,0.11139378,0.039045315,-0.015641177,0.04994671,0.14976396,0.06017692
ENSG00000117298.16,-0.07861525,0.034735017,-0.062073044,-0.014235167,-0.09676166,0.022238756,0.103838205,0.061606206,-0.04594054,-0.012153872,-0.0701262,-0.03279879,-0.023369625,-0.08381935,-0.052442078,0.06107216,0.102444306,0.023487022,-0.05881523,0.117269956
ENSG00000076864.20,-0.05611908,0.058019806,-0.009484975,0.06312025,-0.05833775,-0.109563604,-0.05761069,0.011791887,0.028558679,-0.11357114,0.0047402293,0.06291919,-0.04243069,-0.014695395,0.0369077,0.042405847,0.1097389,0.036608037,0.045228623,0.044341635
ENSG00000090686.16,0.053041622,-0.004799547,-0.025548007,0.08777708,-0.12279291,-0.04016312,0.091884434,-0.03003309,0.058509976,-0.09551113,-0.066933915,-0.07997121,-0.057407383,-0.06668131,0.08604615,0.049947992,0.070893504,0.047235914,-0.07022168,0.08787276
ENSG00000184677.18,0.04052274,0.09244095,0.009321006,0.008467811,0.020252505,-0.12296006,0.026098128,0.08317151,-0.07799417,-0.07673068,0.056239385,-0.101106405,-0.004250033,-0.01427261,0.12051836,0.057662074,0.09619571,0.079722606,0.049565196,-0.034950912
ENSG00000133216.17,-0.039260175,-0.117282145,0.14373426,0.1625489,0.17729029,-0.01978987,-0.0993353,0.104236476,0.10814508,-0.10569454,-0.07713892,-0.1025305,0.041960273,-0.037683148,-0.10506125,-0.0801429,-0.06400888,0.198349,-0.022581464,0.18964663
ENSG00000004487.17,0.02919348,-0.019063987,-0.004129041,0.09496535,-0.058584627,0.0069358638,0.0647504,0.09247345,0.07323609,-0.07927095,0.05868829,-0.0009876409,0.08810466,-0.027766872,0.038181253,0.09368825,0.072432995,0.023361381,0.0145645635,0.019529495
ENSG00000169641.13,-0.10824358,-0.028791541,0.15792924,0.083797306,-0.013958095,0.017574241,0.118396215,0.05393313,-0.06204324,-0.022783732,0.09700083,0.044195175,-0.011902373,0.023368359,-0.04876388,-0.090401575,-0.023697482,0.041072294,-0.025595868,0.042563915
ENSG00000125945.15,0.017050242,0.061020896,0.09335826,0.05017013,-0.048425213,-0.06204198,0.079136394,0.071834944,-0.03696088,-0.013090951,-0.008121117,0.013075146,-0.01980241,-0.069203205,0.02502643,-0.032612696,0.057810165,-0.03093487,-0.035008676,-0.03042138
ENSG00000204219.11,-0.009619059,0.05166821,-0.054972604,0.06801028,-0.04624986,0.010328224,-0.015773468,0.11949484,0.040900648,-0.083234094,-0.17947713,0.092534944,0.08238866,0.033242602,0.017065927,-0.12156204,-0.024897275,-0.06447073,-0.1046128,0.02203734
ENSG00000117318.9,0.2600353,0.094541214,-0.016176092,0.031779803,0.004666055,-0.03530267,0.07710173,-0.0720015,0.17527343,0.1255257,0.07362953,-0.05945558,0.14907312,-0.022339145,-0.02327624,0.00862668,0.06426237,-0.08797706,0.014897463,0.0032102112
ENSG00000011007.12,0.026001269,-0.023298096,0.076101206,-0.050063588,-0.042035017,-0.06505651,0.079465754,0.0052771685,-0.022399576,-0.036795713,-0.029079767,0.06669879,-0.023785628,-0.08409896,0.0238175,0.03881142,0.03507176,-0.051086877,0.09363392,0.092479505
ENSG00000117308.15,0.028117005,0.03755768,0.11671519,-0.0015364276,-0.075383246,-0.13085331,0.027914975,0.009670026,0.013009313,-0.06688301,0.07543744,0.11235149,-0.124434106,-0.053639438,0.106675,-0.039278187,0.025219189,0.18563302,-0.10769268,0.11190509
ENSG00000179163.12,-0.1397378,-0.060171146,-0.018848812,0.023376089,-0.07154303,0.016451214,0.11613163,-0.09179864,0.018645972,-0.05577338,0.015533732,-0.06970492,-0.0945408,0.096923515,-0.032152727,-0.12103047,0.06286248,-0.106068,0.05300485,0.14154378
ENSG00000188529.15,0.058543347,-0.035089105,-0.07278548,0.08910247,0.06785888,-0.11316057,-0.044227783,-0.024585202,0.057357542,-0.050008617,0.075490594,0.048290156,-0.11748119,0.08840892,-0.03000129,0.018883266,-0.076826274,-0.028280688,-0.01826407,0.06247882
ENSG00000142677.4,0.06478021,-0.033768527,0.030321013,-0.015805962,-0.089131474,-0.036181085,0.08837557,-0.04699535,-0.04305005,-0.02637875,-0.08746361,-0.056157846,0.080317505,-0.040330645,-0.046660587,0.044509996,0.09796062,0.06016451,-0.03325991,0.14330803
ENSG00000185436.12,0.012472188,0.016197955,-0.0064111925,0.041797735,-0.018365012,-0.003541702,0.06326136,-0.0178934,-0.012769322,-0.03317494,-0.050653163,-0.097193465,-0.030787768,-0.026950056,0.12915069,-0.021869298,0.018620685,-0.07197783,0.118966006,0.072655626
ENSG00000001461.17,-0.061952475,-0.017927138,-0.020957163,-0.0355996,-0.06405721,-0.08885373,0.025605679,0.11856922,0.07491387,-0.121166594,-0.017902572,-0.05485055,0.038216636,-0.070340514,0.033694968,-0.021867437,-0.024655845,-0.051612567,-0.00012197922,0.044630818
ENSG00000117616.18,0.01615362,0.060167607,0.08644693,0.033767447,-0.07968514,0.02102585,-0.02596027,0.09514956,-0.002008779,0.019925252,-0.022375703,-0.031299666,0.061473377,-0.028489819,0.060476407,0.03872659,0.02141127,0.07281658,0.026255121,0.0072370744
ENSG00000204178.11,0.008260803,-0.058818795,-0.019998487,0.026479315,-0.08182203,-0.02682728,0.07559463,-0.02424625,0.04672592,-0.108022526,-0.11135396,0.024288606,-0.05997257,-0.0090853,0.09219172,0.045845337,0.071796395,0.086664826,0.11585052,0.010625869
ENSG00000157978.12,-0.0751728,-0.069671884,0.13650465,0.022655943,-0.050124463,-0.0355925,0.025054256,-0.02530485,0.07046614,-0.13874035,0.021292008,0.01785496,0.019039746,-0.1288616,0.13485849,0.0265313,0.03759008,0.019846939,-0.048669163,-0.060717594
