Z_0,gene,abs_loading,factor,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Z_10,Z_11,Z_12,Z_13,Z_14,Z_15,Z_16,Z_17,Z_18,Z_19
,ENSG00000205277.10,0.3007069,Z_1,-0.3007069,,,,,,,,,,,,,,,,,,
,ENSG00000129824.16,0.30034783,Z_1,0.30034783,,,,,,,,,,,,,,,,,,
,ENSG00000122952.17,0.2992418,Z_1,-0.2992418,,,,,,,,,,,,,,,,,,
,ENSG00000188959.10,0.29878733,Z_1,-0.29878733,,,,,,,,,,,,,,,,,,
,ENSG00000198959.12,0.29687306,Z_1,-0.29687306,,,,,,,,,,,,,,,,,,
,ENSG00000077152.11,0.29586166,Z_1,-0.29586166,,,,,,,,,,,,,,,,,,
,ENSG00000101443.18,0.29452312,Z_1,0.29452312,,,,,,,,,,,,,,,,,,
,ENSG00000136986.10,0.29305547,Z_1,-0.29305547,,,,,,,,,,,,,,,,,,
,ENSG00000126709.16,0.29249427,Z_1,-0.29249427,,,,,,,,,,,,,,,,,,
,ENSG00000150687.12,0.29239234,Z_1,-0.29239234,,,,,,,,,,,,,,,,,,
,ENSG00000129534.14,0.29144895,Z_1,-0.29144895,,,,,,,,,,,,,,,,,,
,ENSG00000078401.7,0.28934267,Z_1,-0.28934267,,,,,,,,,,,,,,,,,,
,ENSG00000124102.5,0.28818873,Z_1,-0.28818873,,,,,,,,,,,,,,,,,,
,ENSG00000171202.7,0.2846632,Z_1,-0.2846632,,,,,,,,,,,,,,,,,,
,ENSG00000130816.17,0.2829097,Z_1,-0.2829097,,,,,,,,,,,,,,,,,,
,ENSG00000101444.13,0.2761238,Z_1,-0.2761238,,,,,,,,,,,,,,,,,,
,ENSG00000196352.16,0.27413896,Z_1,0.27413896,,,,,,,,,,,,,,,,,,
,ENSG00000137500.9,0.27391994,Z_1,-0.27391994,,,,,,,,,,,,,,,,,,
,ENSG00000288057.1,0.27336496,Z_1,0.27336496,,,,,,,,,,,,,,,,,,
,ENSG00000112773.16,0.27252272,Z_1,0.27252272,,,,,,,,,,,,,,,,,,
,ENSG00000075218.19,0.27231097,Z_1,-0.27231097,,,,,,,,,,,,,,,,,,
,ENSG00000164104.12,0.27097073,Z_1,-0.27097073,,,,,,,,,,,,,,,,,,
,ENSG00000102054.18,0.26722217,Z_1,-0.26722217,,,,,,,,,,,,,,,,,,
,ENSG00000265972.6,0.26678216,Z_1,0.26678216,,,,,,,,,,,,,,,,,,
,ENSG00000167797.8,0.26592377,Z_1,-0.26592377,,,,,,,,,,,,,,,,,,
,ENSG00000198937.9,0.26258567,Z_1,-0.26258567,,,,,,,,,,,,,,,,,,
,ENSG00000128944.13,0.25873375,Z_1,-0.25873375,,,,,,,,,,,,,,,,,,
,ENSG00000196230.14,0.2586444,Z_1,-0.2586444,,,,,,,,,,,,,,,,,,
,ENSG00000173230.15,0.25795338,Z_1,0.25795338,,,,,,,,,,,,,,,,,,
,ENSG00000039068.20,0.25667247,Z_1,0.25667247,,,,,,,,,,,,,,,,,,
,ENSG00000163734.4,0.25611034,Z_1,-0.25611034,,,,,,,,,,,,,,,,,,
,ENSG00000203760.9,0.25528112,Z_1,-0.25528112,,,,,,,,,,,,,,,,,,
,ENSG00000124762.14,0.2497912,Z_1,0.2497912,,,,,,,,,,,,,,,,,,
,ENSG00000002726.21,0.24948336,Z_1,0.24948336,,,,,,,,,,,,,,,,,,
,ENSG00000204264.12,0.2479114,Z_1,-0.2479114,,,,,,,,,,,,,,,,,,
,ENSG00000170312.16,0.24682446,Z_1,-0.24682446,,,,,,,,,,,,,,,,,,
,ENSG00000174992.8,0.5437131,Z_2,,-0.5437131,,,,,,,,,,,,,,,,,
,ENSG00000145287.11,0.42378226,Z_2,,0.42378226,,,,,,,,,,,,,,,,,
,ENSG00000214049.8,0.40691784,Z_2,,0.40691784,,,,,,,,,,,,,,,,,
,ENSG00000091138.13,0.4057554,Z_2,,0.4057554,,,,,,,,,,,,,,,,,
,ENSG00000184292.7,0.36499304,Z_2,,0.36499304,,,,,,,,,,,,,,,,,
,ENSG00000164822.5,0.3510674,Z_2,,-0.3510674,,,,,,,,,,,,,,,,,
,ENSG00000150687.12,0.33586246,Z_2,,0.33586246,,,,,,,,,,,,,,,,,
,ENSG00000088930.8,0.33304355,Z_2,,-0.33304355,,,,,,,,,,,,,,,,,
,ENSG00000139289.14,0.33113793,Z_2,,0.33113793,,,,,,,,,,,,,,,,,
,ENSG00000271933.1,0.32891163,Z_2,,-0.32891163,,,,,,,,,,,,,,,,,
,ENSG00000100554.12,0.32806098,Z_2,,0.32806098,,,,,,,,,,,,,,,,,
,ENSG00000162896.6,0.3188224,Z_2,,-0.3188224,,,,,,,,,,,,,,,,,
,ENSG00000150782.12,0.30817282,Z_2,,0.30817282,,,,,,,,,,,,,,,,,
,ENSG00000104537.17,0.2983859,Z_2,,-0.2983859,,,,,,,,,,,,,,,,,
,ENSG00000122711.9,0.28287694,Z_2,,-0.28287694,,,,,,,,,,,,,,,,,
