Z_9,gene,abs_loading,factor
-0.47031918,ENSG00000164266.11,0.47031918,Z_9
-0.37032443,ENSG00000019582.16,0.37032443,Z_9
-0.32497022,ENSG00000266088.6,0.32497022,Z_9
-0.3246313,ENSG00000026508.20,0.3246313,Z_9
-0.31442013,ENSG00000122711.9,0.31442013,Z_9
-0.30660662,ENSG00000007952.18,0.30660662,Z_9
-0.30438507,ENSG00000120685.20,0.30438507,Z_9
-0.28681162,ENSG00000169248.13,0.28681162,Z_9
-0.27694446,ENSG00000118785.15,0.27694446,Z_9
-0.26621658,ENSG00000166326.7,0.26621658,Z_9
-0.2659976,ENSG00000186395.9,0.2659976,Z_9
-0.2583404,ENSG00000143815.15,0.2583404,Z_9
-0.25729287,ENSG00000140284.11,0.25729287,Z_9
-0.25478062,ENSG00000080608.10,0.25478062,Z_9
-0.25441644,ENSG00000211892.4,0.25441644,Z_9
-0.24998532,ENSG00000124102.5,0.24998532,Z_9
-0.24995358,ENSG00000159713.11,0.24995358,Z_9
-0.24135764,ENSG00000132780.17,0.24135764,Z_9
-0.24049228,ENSG00000138709.19,0.24049228,Z_9
-0.23651342,ENSG00000109861.17,0.23651342,Z_9
-0.23422399,ENSG00000104549.12,0.23422399,Z_9
-0.23283166,ENSG00000139292.13,0.23283166,Z_9
-0.2325524,ENSG00000122034.17,0.2325524,Z_9
-0.22976932,ENSG00000048405.10,0.22976932,Z_9
-0.22757834,ENSG00000176658.17,0.22757834,Z_9
-0.22740906,ENSG00000162366.8,0.22740906,Z_9
-0.2250247,ENSG00000206075.14,0.2250247,Z_9
-0.22436774,ENSG00000130816.17,0.22436774,Z_9
-0.22165532,ENSG00000100097.12,0.22165532,Z_9
-0.2202285,ENSG00000168955.4,0.2202285,Z_9
-0.21984251,ENSG00000141756.19,0.21984251,Z_9
-0.2175319,ENSG00000171431.4,0.2175319,Z_9
-0.21714544,ENSG00000051180.17,0.21714544,Z_9
-0.21692318,ENSG00000134827.8,0.21692318,Z_9
-0.21565689,ENSG00000136874.11,0.21565689,Z_9
-0.21356596,ENSG00000224870.7,0.21356596,Z_9
-0.21256031,ENSG00000151490.15,0.21256031,Z_9
-0.2122276,ENSG00000110917.8,0.2122276,Z_9
-0.211908,ENSG00000259485.2,0.211908,Z_9
-0.20895073,ENSG00000167920.10,0.20895073,Z_9
-0.20894116,ENSG00000184292.7,0.20894116,Z_9
-0.2083716,ENSG00000148450.13,0.2083716,Z_9
-0.20727189,ENSG00000182957.16,0.20727189,Z_9
-0.20483972,ENSG00000106211.10,0.20483972,Z_9
-0.20474125,ENSG00000164171.11,0.20474125,Z_9
-0.20084465,ENSG00000214114.9,0.20084465,Z_9
-0.20010453,ENSG00000070950.10,0.20010453,Z_9
-0.20009106,ENSG00000139211.7,0.20009106,Z_9
-0.1997309,ENSG00000137106.18,0.1997309,Z_9
-0.19948472,ENSG00000023445.16,0.19948472,Z_9
