Z_1,gene,abs_loading,factor
0.37379727,ENSG00000198142.5,0.37379727,Z_1
0.33193022,ENSG00000164266.11,0.33193022,Z_1
0.32327825,ENSG00000135968.21,0.32327825,Z_1
0.31411394,ENSG00000116285.13,0.31411394,Z_1
0.30034783,ENSG00000129824.16,0.30034783,Z_1
0.29452312,ENSG00000101443.18,0.29452312,Z_1
0.27413896,ENSG00000196352.16,0.27413896,Z_1
0.27336496,ENSG00000288057.1,0.27336496,Z_1
0.27252272,ENSG00000112773.16,0.27252272,Z_1
0.26678216,ENSG00000265972.6,0.26678216,Z_1
0.25795338,ENSG00000173230.15,0.25795338,Z_1
0.25667247,ENSG00000039068.20,0.25667247,Z_1
0.2497912,ENSG00000124762.14,0.2497912,Z_1
0.24948336,ENSG00000002726.21,0.24948336,Z_1
0.24287423,ENSG00000177984.7,0.24287423,Z_1
0.23856702,ENSG00000078674.18,0.23856702,Z_1
0.23716998,ENSG00000197265.9,0.23716998,Z_1
0.22886409,ENSG00000160182.3,0.22886409,Z_1
0.2285906,ENSG00000134531.10,0.2285906,Z_1
0.22840013,ENSG00000140807.7,0.22840013,Z_1
0.22782895,ENSG00000125775.15,0.22782895,Z_1
0.22499174,ENSG00000051108.15,0.22499174,Z_1
0.2231848,ENSG00000147416.11,0.2231848,Z_1
0.22004968,ENSG00000163694.15,0.22004968,Z_1
0.21892941,ENSG00000165105.10,0.21892941,Z_1
0.21747653,ENSG00000005700.15,0.21747653,Z_1
0.21524575,ENSG00000164949.8,0.21524575,Z_1
0.21499047,ENSG00000198788.9,0.21499047,Z_1
0.214575,ENSG00000139505.12,0.214575,Z_1
0.21406978,ENSG00000260032.2,0.21406978,Z_1
0.21202882,ENSG00000173467.9,0.21202882,Z_1
0.21151364,ENSG00000125378.16,0.21151364,Z_1
0.21050227,ENSG00000163659.13,0.21050227,Z_1
0.20971636,ENSG00000111907.21,0.20971636,Z_1
0.20810652,ENSG00000135916.16,0.20810652,Z_1
0.20740381,ENSG00000105559.12,0.20740381,Z_1
0.2055685,ENSG00000164251.5,0.2055685,Z_1
0.20538835,ENSG00000158406.6,0.20538835,Z_1
0.20461705,ENSG00000115009.13,0.20461705,Z_1
0.20406601,ENSG00000104537.17,0.20406601,Z_1
0.20162417,ENSG00000067082.15,0.20162417,Z_1
0.20160148,ENSG00000205189.12,0.20160148,Z_1
0.20026612,ENSG00000120875.9,0.20026612,Z_1
0.19916849,ENSG00000007952.18,0.19916849,Z_1
0.19873081,ENSG00000102409.10,0.19873081,Z_1
0.19715263,ENSG00000135821.19,0.19715263,Z_1
0.19572182,ENSG00000073350.14,0.19572182,Z_1
0.19505215,ENSG00000131015.5,0.19505215,Z_1
0.19425996,ENSG00000178828.7,0.19425996,Z_1
0.19301896,ENSG00000112818.11,0.19301896,Z_1
