,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Z_10,Z_11,Z_12,Z_13,Z_14,Z_15,Z_16,Z_17,Z_18,Z_19
ENSG00000116285.13,0.16412725,-0.0008731756,0.04939333,0.11709964,0.09610278,0.16857749,0.10231583,-0.203928,-0.10910712,0.05526664,-0.02297478,-0.15600573,0.087802544,-0.19132723,0.0028721546,0.11649196,-0.01356639,-0.008599569,0.05888888,-0.17022927
ENSG00000074800.16,0.05671568,-0.056892805,-0.046389308,-0.04894252,-0.06977668,-0.07533196,-0.088286825,0.06167317,-0.005206131,0.05211334,0.03998385,0.0068200273,-0.0014640291,0.10476861,0.013350275,-0.05045704,-0.0036199277,0.035799775,0.04176837,0.01947165
ENSG00000198793.13,-0.032875407,-0.062198576,0.04576854,-0.027088767,0.0075965906,0.031200368,0.05329255,0.035478543,0.066183925,-0.0069039543,-0.06943186,-0.03073003,-0.0386491,-0.007878987,0.020945512,-0.001963144,-0.004910914,-0.03561553,-0.018868623,0.069318295
ENSG00000120942.14,0.020741163,0.006899252,0.03588253,0.0804158,-0.06508682,0.019414332,0.13622403,-0.00088660355,0.10837097,0.072587915,0.0418319,0.054062527,0.0768985,-0.114069216,0.023704737,-0.047398567,-0.08015124,0.04986265,-0.058979306,0.051605977
ENSG00000116661.11,-0.07404294,0.012417011,-0.025300527,0.08606531,0.0548587,0.031134214,0.023274826,-0.003679159,-0.032811124,0.06329612,0.0055532535,0.018765558,-0.059581354,0.019941594,-0.047408685,-0.053873103,0.021240119,-0.019164125,-0.005409989,0.0572729
ENSG00000132879.14,-0.09479955,-0.1043926,0.057147354,-0.04960689,-0.024243671,0.011808453,0.03243281,-0.06805921,0.04022803,-0.030991925,-0.12933081,0.061575487,0.055469587,-0.050876148,0.006743607,-0.059224382,-0.06309291,0.015884211,0.020412914,0.019622069
ENSG00000116663.11,0.019712573,-0.056211308,0.028964309,0.013628625,0.066074826,0.007836309,-0.009575965,0.03380367,0.0005811384,0.05276644,-0.026961284,0.03011494,-0.046032235,-0.017144438,-0.05159733,0.014094794,-0.02741743,-0.0020382933,-0.030721873,0.059084043
ENSG00000011021.23,0.03341912,-0.08742762,0.015655782,0.058587592,0.083411455,0.0336353,0.06517486,-0.07568139,0.0136964815,-0.014191293,0.04214161,0.036712795,0.025444062,-0.03076449,0.054278698,0.003383371,-0.07721808,-0.06924021,0.043568686,0.037995633
ENSG00000116685.16,-0.086536415,-0.09138408,0.07304668,0.00073905924,0.10533521,-0.04773637,0.099519655,0.0061442354,-0.018485181,0.0054848553,3.1902873e-05,-0.079439096,-0.0013225134,-0.01997538,0.031502604,0.017434696,-0.00041302637,0.0023499317,-0.020231387,-0.027639195
ENSG00000083444.17,-0.03553193,-0.003714366,0.012587626,0.078050576,0.027850255,-0.08728383,-0.029456759,0.02268281,-0.0072291233,0.00972777,-0.16876045,0.07983173,0.058024187,0.030105911,-0.111985154,-0.05147394,-0.06308964,-0.050081614,-0.013665379,0.0064735184
ENSG00000116688.18,-0.029150337,-0.04722089,0.033883583,0.06972534,0.053803988,0.06350083,-0.008708634,-0.05757934,0.062286172,-0.007998207,-0.053609986,-0.013166334,-0.07254278,-0.0077884113,-0.063548304,0.025728539,-0.014494523,0.02060611,-0.045516323,-0.0934654
ENSG00000028137.19,-0.013651415,-0.05331621,0.017219024,0.07075876,-0.023188302,0.027441524,0.06931095,-0.03307154,0.022303194,0.04118798,-0.06932171,0.04095248,0.009002434,-0.035538826,-0.0073350975,0.02667083,0.041740093,-0.006063046,-0.059763905,0.04685073
ENSG00000171729.14,0.034308504,-0.059179574,-0.05091021,0.06534946,-0.020779079,-0.04421095,0.08342415,-0.014278849,-0.021909703,0.06734486,-0.03954712,0.04411367,-0.02998171,-0.04054894,-0.034962773,-0.009323032,-0.081518605,-0.031659164,-0.006697448,0.0496867
ENSG00000116786.13,-0.056408003,-0.10144993,-0.016528187,0.021084258,0.041663714,0.07657255,0.08317171,0.01209039,-0.029482232,0.085515216,0.021483745,-0.04226377,-0.03816032,0.035673324,-0.064309284,0.039897148,0.037817765,0.041398108,0.017351802,0.07299346
ENSG00000162458.13,-0.0041793007,-0.058520705,0.03497651,0.10089209,0.027462024,-0.03282058,-0.027037391,-0.067174904,-0.022351136,0.08499638,-0.035173953,0.066442214,-0.014715193,0.028097793,-0.02447201,0.048324995,-0.070687875,0.033281937,0.0048037744,0.056230098
ENSG00000116809.12,-0.025378037,-0.055597153,-0.043792814,-0.012114626,0.09604064,0.041280102,0.025821282,-0.011856286,0.040876567,0.050050933,-0.03658986,0.028203655,-0.013342767,-0.050008014,0.04478731,0.03336282,-0.048206445,-0.074445695,-0.022239475,-0.008979899
ENSG00000142627.13,-0.03155053,-0.13475832,0.021091713,-0.0025134168,0.07023782,-0.004474389,0.12029057,-0.020507019,0.0140460525,-0.037362125,-0.10916493,-0.15076539,0.003843997,0.020286808,0.047467634,-0.093052424,0.03182556,-0.029687693,-0.039386604,-0.04224538
ENSG00000142632.17,-0.07865625,-0.026984986,-0.013527096,-0.017614229,0.05267265,-0.022948187,0.034279704,-0.033438552,0.089670055,-0.014302509,-0.0753819,0.00093837007,-0.035717145,0.025999844,-0.04849866,0.0015234449,-0.01909062,0.023547683,-0.031441182,0.03770981
ENSG00000159363.19,0.028164206,-0.0076337475,-0.0061117862,0.08168738,0.013249687,0.041742858,0.0663984,-0.06285184,0.022588244,0.03537545,-0.05053103,0.045341432,-0.07408562,0.0231955,-0.09572596,-0.03985012,-0.009185885,-0.0037671523,-0.02327682,-0.027148027
ENSG00000117115.13,-0.034634143,-0.12624566,0.09884965,0.046194486,0.06463183,-0.06729741,-0.014749058,0.043374117,-0.044995017,0.041317258,-0.04931081,-0.08098385,-0.07715104,0.001955475,0.003832774,-0.0581745,-0.016535653,-0.009931074,-0.07073302,-0.018168425
ENSG00000142623.11,-0.0430201,0.018389497,0.069950216,-0.016469797,0.016529683,-0.006996904,0.054145306,0.040091373,-0.027834566,-0.026069425,-0.090313464,0.03728464,0.0022896703,0.03923551,-0.010262687,-0.06305309,-0.06640168,-0.091390215,-0.0016593931,0.092811145
ENSG00000074964.17,0.034029234,-0.011045625,0.028539546,0.0697641,0.014806371,0.061935022,-0.025494624,-0.022178665,0.03260421,0.028747259,0.02068893,0.04583435,-0.0076576294,0.022717161,-0.09211293,0.06928724,-0.051646564,-0.09718804,0.049289573,0.060322054
ENSG00000159423.17,-0.080001846,-0.010822387,0.060624175,0.03431526,-0.038163964,0.007168364,0.026276749,0.049264394,-0.034230057,0.09654923,-0.0232197,0.074384995,-0.041584652,-0.042669468,-0.0130529115,0.011272923,-0.03927634,0.03848353,0.06433926,0.099828586
ENSG00000211454.15,-0.005640978,0.013212157,0.012742279,0.0628807,0.010196428,0.039390974,-0.042229563,0.024467468,-0.013353753,0.060444884,-0.05648555,0.04104088,-0.025794616,-0.022673713,-0.073704936,-0.04778552,-0.042211983,-0.06968725,0.0032146068,0.062029116
ENSG00000040487.13,-0.02022212,-0.112485565,-0.02558624,0.120763645,0.113654464,-0.043234263,0.053240784,0.026750594,-0.05856554,-0.029712884,-0.014764167,-0.04327633,-0.030694917,-0.117946476,-0.08378066,-0.01670969,-0.041600365,0.038489696,-0.052568387,-0.053233463
ENSG00000162542.14,-0.061000954,-0.02828349,-0.024174778,0.075869955,0.052005365,0.03305536,0.045968503,0.022733582,-0.038275383,-0.038143598,-0.062361415,-0.016687553,0.0015590786,-0.04954969,-0.032696187,-0.014732619,-0.022335704,-0.065356836,-0.039899193,0.031752534
ENSG00000178828.7,-0.0059994725,0.029472886,0.051315956,-0.0049874885,0.05968356,-0.018510293,-0.022952188,0.030055612,0.057042316,-0.019433407,-0.009206339,0.07890651,-0.008359061,-0.017457457,-0.076581106,-0.07530959,-0.101018056,-0.075440966,0.055053912,0.0070686927
ENSG00000169914.6,-0.035874616,0.019398991,-0.008792931,0.006451423,0.16365966,-0.015331503,0.15417334,0.025262684,-0.04763792,-0.039674945,-0.0114091085,-0.053874385,-0.07991115,0.033739757,-0.0823216,0.0481112,0.023053098,-0.01989056,0.087397814,-0.012814598
ENSG00000188257.12,-0.09946276,-0.055037107,-0.076184966,0.053312805,0.20343177,0.1359921,0.14618029,0.10574208,0.020132408,-0.047707684,0.030742627,0.23955981,-0.07473504,-0.033266388,0.12391065,0.003349108,-0.14813286,0.14767443,0.0400971,-0.18249743
ENSG00000162543.6,-0.077126935,-0.09755073,0.037698906,0.09648494,-0.023248876,-0.04758255,0.024856364,-0.049692947,0.044895414,0.054691225,0.030159662,-0.05259077,-0.06259504,0.048080426,-0.0237124,-0.037042852,-0.005388701,0.0037878496,0.042829692,0.052140515
ENSG00000090432.7,-0.102178834,-0.045991275,0.005603273,-0.026219629,-0.010228476,0.035870273,0.064521685,0.052345887,0.08764458,-0.0062610027,0.0065141874,0.058031056,0.022502935,0.03669051,-0.0035072882,0.058022007,-0.08491123,-0.06687913,-0.02568347,0.071445785
ENSG00000158825.6,0.015676472,-0.08385089,-0.037990954,-0.080878265,0.050759543,-0.044071987,0.010033779,-0.06734922,-0.09067742,0.011258573,0.092586204,0.117112555,-0.099613056,-0.069830015,-0.11336576,-0.0976983,0.01643996,-0.08414394,-0.12803078,0.04683459
ENSG00000075151.23,-0.0573732,-0.00068106956,-0.018797264,-0.018604092,0.15497988,-0.010062605,0.1303882,0.035386335,0.017281441,0.10639032,0.0174426,-0.057084095,-0.020773243,-0.09194782,0.035367217,-0.06855162,0.027638711,0.08108219,-0.038771354,-0.042761046
ENSG00000117298.16,-0.041416273,-0.046652477,0.048989113,0.0355679,0.10397581,0.028644875,-0.02251362,-0.007919772,0.07683497,0.08356424,0.023703491,-0.03232664,0.040936146,0.008157606,-0.010507286,-0.009340871,0.027445538,0.041283894,-0.06954436,0.04593008
ENSG00000076864.20,-0.059471022,0.0036102324,0.013474118,-0.0081792185,0.023647381,0.05575647,0.033527065,-0.0456655,0.030723993,0.028505938,-0.07833328,-0.031892356,0.011202736,-0.012923536,-0.041008078,-0.029789949,-0.053308897,0.02998431,-0.041346937,0.047389448
ENSG00000090686.16,0.00035171793,-0.023514962,0.039030235,0.06867248,0.07302054,-0.043529056,0.06580573,0.015917161,0.030793848,-0.0017338373,-0.046417266,-0.055427548,0.013728911,0.0057111913,0.012108209,0.056374464,-0.027539207,-0.078809746,0.02622693,0.018012656
ENSG00000184677.18,-0.09349322,-0.10786869,-0.014026431,-0.003196149,0.12554848,0.06608795,0.03712323,0.04095742,0.10019971,-0.038226992,0.0365612,-0.034108732,-0.038304396,0.0500271,-0.007460382,-0.018801423,-0.034010008,-0.017879581,0.047762614,-0.011522729
ENSG00000133216.17,0.07396983,-0.086587444,0.01651315,-0.05203694,0.08752139,0.09779559,0.04325996,-0.02113096,0.1501397,0.025035823,-0.10433613,0.038712952,0.08114125,-0.07465498,0.07670289,-0.032632552,-0.03942896,0.018532492,0.05272247,-0.034158487
ENSG00000004487.17,-0.06760936,0.028216992,0.024794653,-0.0064863604,-0.0050869663,0.04941306,0.11742334,0.0518136,0.053581536,0.056728896,0.012615585,-0.058243867,-0.024487942,-0.113884605,-0.078539595,0.036335796,0.004852386,-0.017556941,-0.022101387,-0.034196902
ENSG00000169641.13,-0.048421647,0.026265685,-0.013485706,0.012421645,0.071966045,0.03991505,-0.07428492,-0.038569786,0.054906297,0.02409891,-0.09885191,-0.048088416,-0.039788444,-0.08340683,-0.082625374,0.02482636,-0.025353154,0.01235487,-0.012591333,-0.013812949
ENSG00000125945.15,-0.09175361,-0.0894409,-0.035330303,0.08364491,0.03486564,0.05329471,0.06972698,-0.054657314,-0.0024745387,-0.028056927,-0.035153937,-0.025619086,-0.04853541,0.025728488,-0.013574182,0.029348038,0.0372397,-0.1102131,0.048568673,-0.035238896
ENSG00000204219.11,0.05630412,-0.012555903,0.04887916,0.053032443,0.05083444,-0.026804976,0.103834696,0.03766171,-0.06000327,-0.011097849,-0.062332083,0.086284734,-0.00048567815,-0.03833854,-0.08976067,0.04273656,-0.03926183,-0.0327598,-0.056643553,-0.032151923
ENSG00000117318.9,-0.03751488,-0.01045966,-0.03418959,0.14270946,0.051729284,0.12471602,-0.07289801,-0.12971197,0.14884655,-0.11659912,0.09083703,-0.082895644,0.003185842,0.023080667,0.10883785,0.038139164,-0.18434621,-0.03978523,0.14359178,-0.11672721
ENSG00000011007.12,-0.061873432,-0.0385521,0.04153473,0.06533628,0.09278507,0.0025905038,-0.039047275,0.009277047,-0.041090842,0.021776538,-0.015288187,0.032027684,0.032040577,-0.060118254,-0.059909664,0.0609342,-0.030946426,-0.08623081,-0.07700224,-0.043244578
ENSG00000117308.15,-0.10049296,-0.0812119,-0.002428145,0.04753787,0.051403195,0.109580144,0.023710487,-0.091917,-0.023446053,0.033716165,0.08320301,-0.106506065,-0.08361673,0.09168267,-0.034171153,-0.024593834,0.076768205,-0.031563636,-0.06092775,0.052327994
ENSG00000179163.12,-0.046159193,0.03320171,0.03544862,0.047773354,0.053673834,0.016274,0.03435602,0.053819444,0.024387008,0.03782004,-0.020923352,0.031524684,-0.021072885,0.0038539814,0.028579224,0.07868009,-0.054532494,-0.03677066,-0.05447335,0.053768784
ENSG00000188529.15,-0.016505545,0.027031416,-0.10277916,-0.067377985,-0.06647049,-0.026031414,-0.01158058,0.120573856,0.08454778,0.020804413,-0.035675567,0.034716252,-0.0049839374,-0.08573364,0.090152085,0.010855604,0.036282584,-0.047915597,0.028955938,-0.11408079
ENSG00000142677.4,0.017087996,-0.07431981,0.01810992,0.035289243,-0.013967249,-0.018824505,-0.005773206,-0.020967677,0.07740004,-0.009756299,-0.09586477,0.02599665,-0.024217159,0.010902234,-0.015606887,0.025538832,-0.0014739574,-0.10218265,0.035149105,0.06955543
ENSG00000185436.12,-0.052441653,-0.07839827,0.110135436,0.094067484,-0.001965196,0.055428352,-0.025970422,0.0057705226,0.0011367158,-0.005335264,0.012332868,0.007613926,-0.04013585,-0.07498903,-0.012681868,0.07182297,0.02239592,-0.101477206,-0.04706345,-0.02533274
ENSG00000001461.17,-0.01037023,0.014336777,0.062435612,-0.007892161,-0.014733988,0.07216018,0.041987106,0.050956428,0.08644466,0.0054718796,-0.057418782,-0.037188236,-0.015215153,-0.031755235,0.034126014,0.030909268,-0.063805506,-0.056838423,0.02737372,0.09154247
ENSG00000117616.18,0.04069163,0.038313944,0.048071653,0.070240825,0.13766111,-0.052816063,0.099431954,0.059901968,0.06750996,-0.02678723,-0.013720658,0.07099433,0.016481198,0.026251543,0.0672605,0.043970264,-0.03945561,0.00864227,0.06972535,0.07984932
ENSG00000204178.11,-0.0739131,0.05846925,-0.019892553,0.09949124,0.019785793,0.008828099,-0.0037561648,-0.05113107,0.038240444,-0.011771395,-0.02978346,0.03143434,-0.012856128,0.013085302,-0.08822806,0.06839112,-0.07515441,-0.03678117,-0.010852695,0.038437333
ENSG00000157978.12,-0.09672684,-9.150365e-05,0.03023203,-0.009045384,0.040814158,0.051993873,-0.020654807,0.02687872,0.00797703,-0.041192748,-0.08282795,-0.009087829,0.021290591,0.008758239,-0.0014049216,0.04707998,-0.03269659,-0.0844993,-0.074214414,0.105040625
ENSG00000117640.18,-0.032970533,0.062022775,0.10290657,0.01750477,0.091198705,0.039181326,-0.008467291,-0.06009463,-0.026404336,0.015103562,-0.10325607,0.0292534,0.011141081,-0.011353022,-0.11854924,0.060604773,0.0057779555,-0.0026835809,0.015237834,-0.017954823
ENSG00000117632.23,0.17630431,-0.045192316,-0.17208947,0.07097247,0.027295372,-0.19352898,0.14278828,0.16866446,0.23163591,0.034871805,0.13334517,-0.050706677,0.20508373,-0.013007018,-0.07955767,-0.011742438,-0.067760065,-0.1745204,0.0735776,0.0052710637
ENSG00000158006.14,-0.0034387496,-0.06761744,-0.009875176,-0.06641304,0.0826726,-0.035734646,0.01025368,-0.034996055,0.03620212,0.014000932,-0.047596127,0.037703685,0.024346355,-0.05112256,-0.13599968,-0.07891086,-0.039880328,-0.10423619,-0.02457126,-0.07253948
ENSG00000175087.10,0.009121299,0.035477195,0.07831581,-0.0184504,0.009978134,0.0136931725,-0.015201482,0.034772757,0.069710724,0.071430095,-0.031823345,-0.037830316,-0.04776298,-0.02832756,-0.064509064,0.041462928,-0.055302165,-0.08757535,-0.05943666,-0.0041009374
ENSG00000130695.16,0.036492214,0.030441152,-0.01299452,0.04077734,0.04861167,-0.037341967,0.10373021,0.037115104,0.09659037,0.015046242,-0.046823837,-0.060826484,-0.012552835,-0.04860875,-0.111395046,-0.058264483,0.031972047,0.030930238,0.015991727,0.05177745
ENSG00000176092.17,-0.030298572,-0.017676512,-0.030554924,0.09640631,0.07374388,0.001389107,0.0126099475,-0.07411118,0.0023502186,0.047785364,0.06087597,-0.004852634,-0.0419072,-0.05113142,-0.06592979,0.041069392,0.027567435,-0.046445664,0.001383828,0.022329468
ENSG00000117682.17,-0.011125763,-0.04793578,0.020038983,0.06521435,-0.0198609,-0.037776437,0.04272747,-0.03816979,0.045810193,0.049381133,-0.04040597,-0.015818842,-0.03471979,-0.027189933,0.028748991,-0.05234668,-0.05801202,-0.038087007,0.049967077,0.039747566
ENSG00000117676.14,-0.019573247,-0.040104736,0.06801715,0.020680677,0.093884066,-0.058842104,0.08845427,-0.053714447,-0.020458296,0.045284912,0.041727584,-0.0025267145,-0.028484596,0.036670096,-0.07575614,-0.00631044,0.023107365,-0.018862601,-0.016681459,-0.024299515
ENSG00000060642.11,-0.022721991,0.05970148,-0.031407364,0.08426621,0.10703258,0.037081562,-0.0464669,0.05461814,-0.047334433,0.003709324,-0.08089167,-0.083703764,-0.057107154,0.041441858,-0.04132963,-0.053572297,-0.11492386,-0.14080548,0.0021137968,-0.017463539
ENSG00000142751.15,-0.09656762,-0.011546293,0.052293472,-0.0109461015,0.015746742,0.00023296733,0.04748523,-0.07769268,0.05483897,0.07068079,0.008326744,0.03399851,0.03178933,-0.0062241904,0.044015344,0.030551305,-0.057554524,-0.09007216,-0.01534761,-0.026975175
ENSG00000198746.13,-0.03614881,0.022749152,0.02027017,0.0021960244,0.004409782,0.05283372,0.08751015,0.010097559,0.08299188,-0.016993275,0.040703405,0.035169583,-0.026593335,-0.080933146,-0.10301149,-0.020207202,-0.057438977,0.038593315,0.0073871086,0.03564788
ENSG00000131910.5,-0.05981599,-0.047576927,-0.053250555,-0.048297014,0.08772144,0.0013579433,0.045322724,-0.056925148,0.081537604,0.08513526,-0.0556054,0.021081125,0.007993065,-0.08356804,0.026257679,0.015447183,-0.04485035,0.036978725,-0.04779903,-0.036015913
ENSG00000175707.9,0.03938895,-0.0661506,-0.008826604,0.04131576,0.08382519,-0.063670255,0.047151394,-0.10121287,0.052858364,-0.047390077,-0.0073316153,0.08295586,0.020687947,-0.110008575,0.009366841,-0.040001333,-0.075537734,0.026929466,0.03347174,0.051274832
ENSG00000090020.11,0.011197499,-0.020317398,-0.023519624,0.11266216,-0.021971878,0.047596935,-0.008536784,0.030577635,0.06403469,-0.01630164,-0.08397787,0.07466057,-0.09013669,-0.023510179,-0.06349424,-0.03691606,-0.089019254,-0.024932824,0.045937408,0.0050091078
ENSG00000126709.16,0.021640584,-0.21742468,-0.19692187,-0.08352656,0.23204377,-0.10598282,-0.11054484,-0.025632996,-0.09130105,0.15193729,-0.0049810777,-0.15981679,-0.10817619,0.1176286,0.06449103,-0.03289061,0.012643232,-0.10804053,-0.18640326,0.026248693
ENSG00000117758.14,-0.025015367,-0.036711127,0.08809965,-0.025079926,0.014820703,0.076473035,0.049956053,-0.025102615,0.01664018,0.06508533,-0.08456745,-0.012437644,0.012458317,0.02558653,0.034137268,0.027258916,-0.048226673,0.046996243,-0.045329597,0.05599658
ENSG00000130775.16,-0.010180223,-0.043075368,0.032950748,0.10946333,0.008075059,0.023458362,0.047424823,-0.07018388,-0.034030974,-0.030616203,-0.02073129,-0.04372487,-0.05806429,0.013234916,-0.111461565,-0.0013384011,-0.03477038,-0.033194534,-0.016930742,-0.007977653
ENSG00000117748.10,0.021087004,0.013573167,0.009409413,-0.014438867,0.0707733,0.012043969,0.0026936932,0.031039571,0.05647767,-0.049597554,0.020501796,0.08657409,0.04947158,-0.09927514,-0.07688024,-0.008794899,-0.087338485,-0.10285294,-0.035765167,0.01775231
ENSG00000130766.5,-0.021060666,0.00036244333,-0.035754614,0.082286045,0.08975398,-0.05954403,-0.010259463,0.049998652,-0.007941732,0.061434068,-0.054596025,0.02473554,-0.006102569,0.052057255,-0.092304334,-0.020715144,-0.013489228,-0.087950304,-0.01081286,0.03375586
