,proba_m1,proba_m2,bayes_factor,scale1,scale2,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,comparison,group1,group2
ENSG00000114354.15,0.4014,0.5986,-0.39963515084920254,0.00040137654,0.0004952819,40.7,41.0303738317757,0.8,0.8107476635514018,3.7344634395855856,4.375210080693567,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000154556.18,0.4012,0.5988,-0.4004675882325356,4.105133e-05,5.3569303e-05,6.035714285714286,3.1378504672897196,0.2,0.20093457943925233,0.5751080791490131,0.39617697905911364,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000186205.13,0.4012,0.5988,-0.4004675882325356,5.4174714e-05,0.0001714983,6.885714285714286,6.780373831775701,0.2785714285714286,0.2827102803738318,0.8040646328993881,0.6922546701064413,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000234690.7,0.401,0.599,-0.4013001625657153,2.4497225e-05,5.068922e-05,2.8142857142857145,3.5934579439252334,0.17142857142857143,0.21962616822429906,0.28869993597121807,0.42824275263258305,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000108602.18,0.4008,0.5992,-0.4021328741711736,9.386862e-06,8.736675e-06,0.5928571428571429,1.014018691588785,0.05,0.06775700934579439,0.05653692033863916,0.09156253515042867,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000186376.15,0.4008,0.5992,-0.4021328741711736,2.7882213e-06,1.45605345e-05,1.0357142857142858,1.1635514018691588,0.05714285714285714,0.07242990654205607,0.12443422275503586,0.1756020309642066,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000121440.15,0.4008,0.5992,-0.4021328741711736,3.1601737e-06,3.2386188e-06,0.7571428571428571,0.3598130841121495,0.05,0.06074766355140187,0.05660013327456179,0.036225903995728476,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000120889.13,0.4008,0.5992,-0.4021328741711736,1.7572022e-05,8.0009275e-05,3.0285714285714285,6.563084112149533,0.19285714285714287,0.26635514018691586,0.20098800323903776,0.5750794504530568,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000071282.12,0.4006,0.5993999999999999,-0.40296572337163894,4.641646e-06,8.375497e-06,0.9857142857142858,1.2850467289719627,0.05714285714285714,0.11214953271028037,0.061062829201373986,0.10130451303382534,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000171723.16,0.4006,0.5993999999999999,-0.40296572337163894,3.2814154e-05,3.6186535e-05,3.607142857142857,4.072429906542056,0.18571428571428572,0.21728971962616822,0.23101618808328991,0.41343406178631203,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
