Z_17,gene,abs_loading,factor
0.33795607,ENSG00000198786.2,0.33795607,Z_17
0.279725,ENSG00000234745.13,0.279725,Z_17
0.27682325,ENSG00000142089.17,0.27682325,Z_17
0.2511187,ENSG00000115009.13,0.2511187,Z_17
0.23380841,ENSG00000073067.14,0.23380841,Z_17
0.20522833,ENSG00000132341.12,0.20522833,Z_17
0.20363078,ENSG00000245532.9,0.20363078,Z_17
0.20297052,ENSG00000115414.21,0.20297052,Z_17
0.1976154,ENSG00000136108.15,0.1976154,Z_17
0.19529973,ENSG00000163586.10,0.19529973,Z_17
0.19503695,ENSG00000198695.2,0.19503695,Z_17
0.18106669,ENSG00000164733.22,0.18106669,Z_17
0.17634039,ENSG00000222724.1,0.17634039,Z_17
0.17523941,ENSG00000160182.3,0.17523941,Z_17
0.17494021,ENSG00000019582.16,0.17494021,Z_17
0.17486855,ENSG00000163734.4,0.17486855,Z_17
0.1746913,ENSG00000015413.9,0.1746913,Z_17
0.17454092,ENSG00000122711.9,0.17454092,Z_17
0.1735276,ENSG00000211592.8,0.1735276,Z_17
0.1711859,ENSG00000164816.8,0.1711859,Z_17
0.16977005,ENSG00000124299.15,0.16977005,Z_17
0.16779299,ENSG00000196950.14,0.16779299,Z_17
0.16470271,ENSG00000173432.12,0.16470271,Z_17
0.16344346,ENSG00000100906.11,0.16344346,Z_17
0.16290264,ENSG00000104131.13,0.16290264,Z_17
0.15875638,ENSG00000198938.2,0.15875638,Z_17
0.15865313,ENSG00000136826.15,0.15865313,Z_17
0.15705682,ENSG00000135968.21,0.15705682,Z_17
0.15570228,ENSG00000135916.16,0.15570228,Z_17
0.15165915,ENSG00000251562.8,0.15165915,Z_17
0.14998744,ENSG00000173110.8,0.14998744,Z_17
0.14901006,ENSG00000046647.14,0.14901006,Z_17
0.14831701,ENSG00000141934.10,0.14831701,Z_17
0.14767443,ENSG00000188257.12,0.14767443,Z_17
0.14722104,ENSG00000057608.17,0.14722104,Z_17
0.14623654,ENSG00000134057.15,0.14623654,Z_17
0.14603153,ENSG00000172831.14,0.14603153,Z_17
0.14496268,ENSG00000167315.18,0.14496268,Z_17
0.14325303,ENSG00000108848.16,0.14325303,Z_17
0.14267994,ENSG00000102837.7,0.14267994,Z_17
0.1426766,ENSG00000171747.9,0.1426766,Z_17
0.1418865,ENSG00000134193.15,0.1418865,Z_17
0.13927022,ENSG00000188342.12,0.13927022,Z_17
0.13903698,ENSG00000111802.14,0.13903698,Z_17
0.13769142,ENSG00000204574.14,0.13769142,Z_17
0.13735321,ENSG00000141682.12,0.13735321,Z_17
0.13656609,ENSG00000158417.11,0.13656609,Z_17
0.13533352,ENSG00000204385.13,0.13533352,Z_17
0.13386571,ENSG00000196878.15,0.13386571,Z_17
0.12967469,ENSG00000176153.12,0.12967469,Z_17
