Z_3,gene,abs_loading,factor
0.37172425,ENSG00000122711.9,0.37172425,Z_3
0.2809567,ENSG00000159182.5,0.2809567,Z_3
0.2579007,ENSG00000141682.12,0.2579007,Z_3
0.24663922,ENSG00000177984.7,0.24663922,Z_3
0.24631052,ENSG00000124299.15,0.24631052,Z_3
0.24185282,ENSG00000211592.8,0.24185282,Z_3
0.23966707,ENSG00000132170.24,0.23966707,Z_3
0.23804547,ENSG00000145632.15,0.23804547,Z_3
0.2340417,ENSG00000101361.17,0.2340417,Z_3
0.23231478,ENSG00000145386.11,0.23231478,Z_3
0.23034613,ENSG00000197894.12,0.23034613,Z_3
0.22053578,ENSG00000118523.6,0.22053578,Z_3
0.21566536,ENSG00000169908.12,0.21566536,Z_3
0.20803042,ENSG00000101384.12,0.20803042,Z_3
0.20589639,ENSG00000124762.14,0.20589639,Z_3
0.20566237,ENSG00000059728.11,0.20566237,Z_3
0.19876726,ENSG00000166165.13,0.19876726,Z_3
0.19760618,ENSG00000138772.13,0.19760618,Z_3
0.19445662,ENSG00000068745.15,0.19445662,Z_3
0.19199711,ENSG00000121691.7,0.19199711,Z_3
0.18956174,ENSG00000104765.16,0.18956174,Z_3
0.1882951,ENSG00000151929.10,0.1882951,Z_3
0.18750949,ENSG00000134193.15,0.18750949,Z_3
0.18667232,ENSG00000257267.3,0.18667232,Z_3
0.18627706,ENSG00000108551.5,0.18627706,Z_3
0.18505323,ENSG00000163527.10,0.18505323,Z_3
0.18411116,ENSG00000164342.13,0.18411116,Z_3
0.1839267,ENSG00000125144.14,0.1839267,Z_3
0.18358001,ENSG00000051108.15,0.18358001,Z_3
0.18061909,ENSG00000182199.11,0.18061909,Z_3
0.1781445,ENSG00000178999.13,0.1781445,Z_3
0.17703463,ENSG00000100453.13,0.17703463,Z_3
0.17670266,ENSG00000133739.16,0.17670266,Z_3
0.17459793,ENSG00000118689.15,0.17459793,Z_3
0.17321506,ENSG00000128654.14,0.17321506,Z_3
0.17195609,ENSG00000187840.5,0.17195609,Z_3
0.17091855,ENSG00000215712.11,0.17091855,Z_3
0.17028691,ENSG00000174992.8,0.17028691,Z_3
0.16850142,ENSG00000113845.10,0.16850142,Z_3
0.16847225,ENSG00000176907.5,0.16847225,Z_3
0.1658964,ENSG00000073067.14,0.1658964,Z_3
0.16525047,ENSG00000114115.10,0.16525047,Z_3
0.16484898,ENSG00000111802.14,0.16484898,Z_3
0.16397002,ENSG00000168003.18,0.16397002,Z_3
0.16218685,ENSG00000179388.9,0.16218685,Z_3
0.16177194,ENSG00000089048.15,0.16177194,Z_3
0.16162454,ENSG00000157110.16,0.16162454,Z_3
0.16124912,ENSG00000188895.12,0.16124912,Z_3
0.16048758,ENSG00000169490.17,0.16048758,Z_3
0.15949179,ENSG00000174446.13,0.15949179,Z_3
