Z_14,gene,abs_loading,factor
0.49176753,ENSG00000122711.9,0.49176753,Z_14
0.3761945,ENSG00000160180.17,0.3761945,Z_14
0.32732248,ENSG00000101333.18,0.32732248,Z_14
0.31337586,ENSG00000120738.8,0.31337586,Z_14
0.2584285,ENSG00000272398.6,0.2584285,Z_14
0.23779811,ENSG00000112562.19,0.23779811,Z_14
0.21894544,ENSG00000100526.20,0.21894544,Z_14
0.21733154,ENSG00000125144.14,0.21733154,Z_14
0.21730758,ENSG00000079459.13,0.21730758,Z_14
0.20440264,ENSG00000134193.15,0.20440264,Z_14
0.20221613,ENSG00000132170.24,0.20221613,Z_14
0.20001745,ENSG00000129824.16,0.20001745,Z_14
0.19841616,ENSG00000166165.13,0.19841616,Z_14
0.19588433,ENSG00000159182.5,0.19588433,Z_14
0.1895608,ENSG00000198938.2,0.1895608,Z_14
0.18773326,ENSG00000164104.12,0.18773326,Z_14
0.18678907,ENSG00000111665.12,0.18678907,Z_14
0.18151683,ENSG00000130513.6,0.18151683,Z_14
0.17873214,ENSG00000124253.11,0.17873214,Z_14
0.17685978,ENSG00000127125.9,0.17685978,Z_14
0.17386793,ENSG00000067082.15,0.17386793,Z_14
0.17215718,ENSG00000108064.11,0.17215718,Z_14
0.17211,ENSG00000057608.17,0.17211,Z_14
0.17111264,ENSG00000172053.18,0.17111264,Z_14
0.16655916,ENSG00000172725.14,0.16655916,Z_14
0.16455816,ENSG00000121316.11,0.16455816,Z_14
0.1624603,ENSG00000182199.11,0.1624603,Z_14
0.15976374,ENSG00000125166.13,0.15976374,Z_14
0.15896095,ENSG00000124299.15,0.15896095,Z_14
0.15721683,ENSG00000141682.12,0.15721683,Z_14
0.15410058,ENSG00000164733.22,0.15410058,Z_14
0.15269707,ENSG00000182481.10,0.15269707,Z_14
0.15071227,ENSG00000163527.10,0.15071227,Z_14
0.14981395,ENSG00000101444.13,0.14981395,Z_14
0.14873323,ENSG00000128654.14,0.14873323,Z_14
0.14831631,ENSG00000155096.15,0.14831631,Z_14
0.14817846,ENSG00000163586.10,0.14817846,Z_14
0.14771158,ENSG00000134057.15,0.14771158,Z_14
0.1468908,ENSG00000174992.8,0.1468908,Z_14
0.14478295,ENSG00000017483.15,0.14478295,Z_14
0.14460036,ENSG00000099194.6,0.14460036,Z_14
0.14425565,ENSG00000088727.14,0.14425565,Z_14
0.14262469,ENSG00000130985.17,0.14262469,Z_14
0.1425564,ENSG00000104870.13,0.1425564,Z_14
0.14238022,ENSG00000131724.11,0.14238022,Z_14
0.14008105,ENSG00000197019.5,0.14008105,Z_14
0.13802744,ENSG00000102804.15,0.13802744,Z_14
0.13687317,ENSG00000204525.17,0.13687317,Z_14
0.13594928,ENSG00000111726.13,0.13594928,Z_14
0.13511702,ENSG00000005022.6,0.13511702,Z_14
