,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Z_10,Z_11,Z_12,Z_13,Z_14,Z_15,Z_16,Z_17,Z_18,Z_19
ENSG00000116285.13,-0.08923655,0.06912486,0.13891532,0.05048254,0.08704719,-0.031909734,0.02923132,0.13690482,-0.09303924,-0.012838027,0.031824935,-0.034172233,-0.044917885,-0.14595632,0.027742116,0.07787379,0.056750454,0.007240214,-0.039169185,0.021435754
ENSG00000074800.16,-0.069617696,-0.0603831,-0.055163436,0.00782072,-0.04646988,0.002694556,-0.036381464,-0.09800211,0.16451395,0.043806236,0.12572233,0.04369473,0.017351842,-0.07495057,-0.034439027,-0.07750938,-0.11803285,-0.051497627,0.020305458,0.02176019
ENSG00000198793.13,-0.02626748,-0.09246435,-0.026559738,-0.1202532,-0.017502096,-0.11122087,-0.009655483,-0.034006305,0.024955362,-0.06631153,0.0237094,-0.03465338,0.09269109,-0.029412199,0.040598605,-0.0103473,-0.050381046,0.07576872,-0.0025738871,0.0029473437
ENSG00000120942.14,0.09607993,-0.04664751,0.08193301,-0.047252476,0.024623891,0.03295603,-0.02035503,0.008472217,-0.069167055,0.06623641,0.030028515,0.064641625,0.028258499,0.02001048,0.048811916,-0.020494696,-0.06484334,0.06644172,0.038470693,-0.013004874
ENSG00000116661.11,-0.019245803,-0.016546253,-0.044270996,-0.048037186,-0.034437664,-0.07691994,0.0033228179,0.0016224516,-0.06278326,-0.01579563,-0.05552166,-0.05634071,0.07387034,-0.0032151924,0.017503472,-0.016208455,-0.026042512,0.017605778,-0.005010223,-0.05979658
ENSG00000132879.14,-0.009630785,-0.07646754,0.058200706,-0.032005902,-0.04132879,0.030464334,-0.023423351,-0.03359109,-0.12183124,-0.030349994,-0.037594877,0.057065107,0.047988225,0.060631305,0.04625353,0.04500287,-0.03188115,0.08014047,0.007068671,-0.11578861
ENSG00000116663.11,-0.034000374,-0.06261177,0.1662652,0.029303566,0.0376625,0.05798033,0.014569026,-0.073382795,-0.0745458,-0.026020177,-0.014914375,-0.05375641,-0.008319924,0.08499325,0.023927197,-0.11224455,0.034966327,0.060469627,0.03337177,-0.13283859
ENSG00000011021.23,0.045612678,-0.04223291,0.040482495,-0.0022036727,-0.018964805,-0.016445726,0.023090601,0.03313556,-0.06448304,-0.052749474,-0.03699624,0.0075058574,0.035835687,-0.013346058,0.04826971,-0.07294266,-0.01960279,0.054200694,-0.0366674,0.016068798
ENSG00000116685.16,-0.026972624,0.045574926,0.07619839,0.0028837477,-0.030055415,-0.067266464,0.042348437,0.047854576,-0.00817785,-0.037373,0.06930415,-0.017982055,0.017454533,-0.04525324,-0.032115404,-0.04848891,-0.086908355,0.021482477,0.011581071,-0.048260983
ENSG00000083444.17,0.13182954,-0.076952875,-0.040790845,0.015206872,0.076247245,0.016508719,-0.042132903,-0.013278556,-0.081320085,-0.04316021,0.038300164,0.018838521,-0.0040199845,-0.02889781,0.0908336,0.046393666,0.04298487,0.05134369,0.14034101,-0.0847512
