Z_0,gene,abs_loading,factor,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Z_10,Z_11,Z_12,Z_13,Z_14,Z_15,Z_16,Z_17,Z_18,Z_19
,ENSG00000171345.13,0.23644885,Z_1,0.23644885,,,,,,,,,,,,,,,,,,
,ENSG00000131746.13,0.23643713,Z_1,-0.23643713,,,,,,,,,,,,,,,,,,
,ENSG00000089685.15,0.23641108,Z_1,-0.23641108,,,,,,,,,,,,,,,,,,
,ENSG00000069482.7,0.23592302,Z_1,-0.23592302,,,,,,,,,,,,,,,,,,
,ENSG00000206828.1,0.2329713,Z_1,-0.2329713,,,,,,,,,,,,,,,,,,
,ENSG00000163950.13,0.22956719,Z_1,-0.22956719,,,,,,,,,,,,,,,,,,
,ENSG00000244509.4,0.22836648,Z_1,0.22836648,,,,,,,,,,,,,,,,,,
,ENSG00000177984.7,0.22773989,Z_1,0.22773989,,,,,,,,,,,,,,,,,,
,ENSG00000166165.13,0.22432002,Z_1,0.22432002,,,,,,,,,,,,,,,,,,
,ENSG00000114354.15,0.22397128,Z_1,0.22397128,,,,,,,,,,,,,,,,,,
,ENSG00000198467.16,0.22185792,Z_1,-0.22185792,,,,,,,,,,,,,,,,,,
,ENSG00000099901.17,0.22162762,Z_1,-0.22162762,,,,,,,,,,,,,,,,,,
,ENSG00000168955.4,0.22070833,Z_1,-0.22070833,,,,,,,,,,,,,,,,,,
,ENSG00000204642.14,0.2195323,Z_1,-0.2195323,,,,,,,,,,,,,,,,,,
,ENSG00000147889.18,0.21823943,Z_1,-0.21823943,,,,,,,,,,,,,,,,,,
,ENSG00000175063.17,0.21710208,Z_1,-0.21710208,,,,,,,,,,,,,,,,,,
,ENSG00000198786.2,0.21614401,Z_1,0.21614401,,,,,,,,,,,,,,,,,,
,ENSG00000188373.5,0.21578602,Z_1,0.21578602,,,,,,,,,,,,,,,,,,
,ENSG00000183844.17,0.21530828,Z_1,0.21530828,,,,,,,,,,,,,,,,,,
,ENSG00000204899.6,0.21214378,Z_1,-0.21214378,,,,,,,,,,,,,,,,,,
,ENSG00000141736.14,0.21184823,Z_1,-0.21184823,,,,,,,,,,,,,,,,,,
,ENSG00000160551.12,0.2112084,Z_1,-0.2112084,,,,,,,,,,,,,,,,,,
,ENSG00000102738.8,0.21086195,Z_1,-0.21086195,,,,,,,,,,,,,,,,,,
,ENSG00000186480.13,0.21053125,Z_1,0.21053125,,,,,,,,,,,,,,,,,,
,ENSG00000125740.14,0.20988409,Z_1,0.20988409,,,,,,,,,,,,,,,,,,
,ENSG00000136628.18,0.20857295,Z_1,-0.20857295,,,,,,,,,,,,,,,,,,
,ENSG00000144485.11,0.20797484,Z_1,-0.20797484,,,,,,,,,,,,,,,,,,
,ENSG00000184292.7,0.20701006,Z_1,0.20701006,,,,,,,,,,,,,,,,,,
,ENSG00000116667.15,0.20658281,Z_1,-0.20658281,,,,,,,,,,,,,,,,,,
,ENSG00000168078.10,0.20651843,Z_1,-0.20651843,,,,,,,,,,,,,,,,,,
,ENSG00000079459.13,0.20625119,Z_1,0.20625119,,,,,,,,,,,,,,,,,,
,ENSG00000164949.8,0.20619927,Z_1,0.20619927,,,,,,,,,,,,,,,,,,
,ENSG00000164611.13,0.20500754,Z_1,-0.20500754,,,,,,,,,,,,,,,,,,
,ENSG00000168496.4,0.20497921,Z_1,-0.20497921,,,,,,,,,,,,,,,,,,
,ENSG00000137752.24,0.20462671,Z_1,-0.20462671,,,,,,,,,,,,,,,,,,
,ENSG00000148346.12,0.3563062,Z_2,,-0.3563062,,,,,,,,,,,,,,,,,
,ENSG00000100097.12,0.35195348,Z_2,,-0.35195348,,,,,,,,,,,,,,,,,
,ENSG00000135245.10,0.3319268,Z_2,,0.3319268,,,,,,,,,,,,,,,,,
,ENSG00000078401.7,0.33100107,Z_2,,0.33100107,,,,,,,,,,,,,,,,,
,ENSG00000114315.4,0.3086644,Z_2,,-0.3086644,,,,,,,,,,,,,,,,,
,ENSG00000077152.11,0.3062508,Z_2,,-0.3062508,,,,,,,,,,,,,,,,,
,ENSG00000211592.8,0.2945786,Z_2,,-0.2945786,,,,,,,,,,,,,,,,,
,ENSG00000211677.2,0.28234988,Z_2,,-0.28234988,,,,,,,,,,,,,,,,,
,ENSG00000184292.7,0.27899808,Z_2,,-0.27899808,,,,,,,,,,,,,,,,,
,ENSG00000185950.9,0.2715092,Z_2,,0.2715092,,,,,,,,,,,,,,,,,
,ENSG00000164611.13,0.27123132,Z_2,,-0.27123132,,,,,,,,,,,,,,,,,
,ENSG00000029993.15,0.26604727,Z_2,,-0.26604727,,,,,,,,,,,,,,,,,
,ENSG00000112739.17,0.2651801,Z_2,,-0.2651801,,,,,,,,,,,,,,,,,
,ENSG00000204385.13,0.25660813,Z_2,,0.25660813,,,,,,,,,,,,,,,,,
,ENSG00000160182.3,0.2528114,Z_2,,0.2528114,,,,,,,,,,,,,,,,,
